code,laboratoire,nom,dci,dosage,unite_dosage,forme,presentation,ppv,ph,ppv_br,princeps_generique,classe_therapeutique,taux_remboursement_cnss
6118000380177,SUN PHARMACEUTICALS MOROCCO LLC,RANSIMVA 40 MG,SIMVASTATINE,40,MG,COMPRIME PELLICULE,1 BOITE 60 COMPRIME PELLICULE,283.00,188.10,283.00,A,HYPOLIPEMIANT,70
6118001182107,MAPHAR,RAPIFEN (H),ALFENTANIL,1,MG,SOLUTION INJECTABLE,1 BOITE 5 AMPOULE,59.50,37.20,59.50,B,ANALGESIQUE OPIOIDE,0
6118001182114,MAPHAR,RAPIFEN (H),ALFENTANIL,5,MG,SOLUTION INJECTABLE,1 BOITE 10 AMPOULE,451.00,300.00,451.00,B,ANALGESIQUE OPIOIDE,0
6118000490067,AXESS PHARMA,RASTINE 10 MG,ROSUVASTATINE,10,MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME PELLICULE,154.10,96.30,154.10,A,HYPOLIPEMIANT,70
6118000490074,AXESS PHARMA,RASTINE 20 MG,ROSUVASTATINE,20,MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME PELLICULE,249.00,156.20,249.00,A,HYPOLIPEMIANT,70
6118000490050,AXESS PHARMA,RASTINE 5 MG,ROSUVASTATINE,5,MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME PELLICULE,106.50,66.50,106.50,A,HYPOLIPEMIANT,70
6118000270232,ERGO,RAVIVA,MELOXICAM,15,MG,COMPRIME SECABLE,1 BOITE 20 COMPRIME SECABLE,72.60,45.40,72.60,A,ANTI-INFLAMMATOIRE NON STEROIDIEN,70
6118000270201,ERGO,RAVIVA,MELOXICAM,7.5,MG,COMPRIME SECABLE,1 BOITE 10 COMPRIME SECABLE,27.10,16.90,27.10,A,ANTI-INFLAMMATOIRE NON STEROIDIEN,70
6118000270225,ERGO,RAVIVA,MELOXICAM,15,MG,COMPRIME SECABLE,1 BOITE 10 COMPRIME SECABLE,36.40,22.80,36.40,A,ANTI-INFLAMMATOIRE NON STEROIDIEN,70
6118000270218,ERGO,RAVIVA,MELOXICAM,7.5,MG,COMPRIME SECABLE,1 BOITE 20 COMPRIME SECABLE,49.70,31.00,49.70,A,ANTI-INFLAMMATOIRE NON STEROIDIEN,70
6118000140726,NOVOPHARMA,RAZON,PANTOPRAZOLE,40,MG,COMPRIME ENROBE GASTRO-RESISTANT,1 BOITE 14 COMPRIME GASTRO-RESISTANT,93.40,58.40,93.40,C,INHIBITEUR DE LA POMPE A PROTON,70
6118000140924,NOVOPHARMA,RAZON 40 MG,PANTOPRAZOLE,40,MG,COMPRIME ENROBE GASTRO-RESISTANT,1 BOITE 7 COMPRIME ENROBE GASTRO-RESISTANT,49.10,30.70,49.10,C,INHIBITEUR DE LA POMPE A PROTON,70
6118000140849,NOVOPHARMA,RAZON 40 MG,PANTOPRAZOLE,40,MG,COMPRIME ENROBE GASTRO-RESISTANT,1 BOITE 28 COMPRIME ENROBE GASTRO-RESISTANT,168.20,105.10,168.20,C,INHIBITEUR DE LA POMPE A PROTON,70
6118001260362,PROMOPHARM,REBIF 22 µG,INTERFERON BETA-1A,22,µG,PREPARATION INJECTABLE,1 BOITE 12 SERINGUE,6192.00,5963.00,6192.00,A,IMMUNOSTIMULANT IMMUNOMODULATEUR,70
6118001260898,PROMOPHARM,REBIF 22 µG/ 0.5 ML,INTERFERON BETA-1A,22,µG,SOLUTION INJECTABLE,1 BOITE 4 CARTOUCHE,5121.00,4859.00,5121.00,A,IMMUNOSTIMULANT IMMUNOMODULATEUR,70
6118001260379,PROMOPHARM,REBIF 44 µG,INTERFERON BETA-1A,44,µG,PREPARATION INJECTABLE,1 BOITE 12 SERINGUE,8187.00,8016.56,8187.00,A,IMMUNOSTIMULANT IMMUNOMODULATEUR,70
6118001260904,PROMOPHARM,REBIF 44 µG/ 0.5 ML,INTERFERON BETA-1A,44,µG,SOLUTION INJECTABLE,1 BOITE 4 CARTOUCHE,8266.00,8097.00,8266.00,A,IMMUNOSTIMULANT IMMUNOMODULATEUR,70
6118001090624,POLYMEDIC,RECOFOL,PROPOFOL,10,MG,EMULSION INJECTABLE,1 FLACON 50 ML,,140.00,,A,ANESTHESIQUE,0
6118001090617,POLYMEDIC,RECOFOL,PROPOFOL,10,MG,EMULSION INJECTABLE,1 FLACON 100 ML,,280.00,,A,ANESTHESIQUE,0
6118001200313,POLYMEDIC,RECOFOL,PROPOFOL,10,MG,EMULSION INJECTABLE,1 BOITE 5 AMPOULE INJECTABLE,316.00,209.00,,A,ANESTHESIQUE,0
6118001090600,POLYMEDIC,RECOFOL,PROPOFOL,10,MG,EMULSION INJECTABLE,1 BOITE 5 AMPOULE INJECTABLE,316.00,209.00,,A,ANESTHESIQUE,0
6118001200290,POLYMEDIC,RECOFOL,PROPOFOL,10,MG,EMULSION INJECTABLE,1 FLACON 100 ML,,280.00,,A,ANESTHESIQUE,0
6118001200306,POLYMEDIC,RECOFOL,PROPOFOL,10,MG,EMULSION INJECTABLE,1 FLACON 50 ML,,140.00,,A,ANESTHESIQUE,0
6118001050352,ROCHE,RECORMON,EPOETINE BETA,2000,UI,PREPARATION INJECTABLE,1 BOITE 6 SERINGUE PREREMPLIE,1156.00,882.00,1156.00,A,ANTIANEMIQUE,70
6118001050376,ROCHE,RECORMON,EPOETINE BETA,5000,UI,PREPARATION INJECTABLE,1 BOITE 6 SERINGUE PREREMPLIE,2542.00,2205.00,2542.00,A,ANTIANEMIQUE,70
6118001050369,ROCHE,RECORMON,EPOETINE BETA,3000,UI,SOLUTION INJECTABLE,1 BOITE 6 SERINGUE PREREMPLIE,1585.00,1323.00,1585.00,A,ANTIANEMIQUE,70
6118001050680,ROCHE,RECORMON,EPOETINE BETA,30000,UI,SOLUTION INJECTABLE,1 BOITE 4 SERINGUE PREREMPLIE,8968.00,8800.00,8968.00,A,ANTIANEMIQUE,70
6118001051083,ROCHE,RECORMON 30000UI/0.6ML,EPOETINE BETA,30000,UI,SOLUTION INJECTABLE,1 BOITE 1 SERINGUE PREREMPLIE,2242.00,1896.00,2242.00,A,ANTIANEMIQUE,70
6118000071082,AFRIC-PHAR,REDLIP,SIMVASTATINE,20,MG,COMPRIME ENROBE SECABLE,1 BOITE 60 COMPRIME,250.00,156.20,250.00,A,HYPOLIPEMIANT,70
6118000071105,AFRIC-PHAR,REDLIP,SIMVASTATINE,40,MG,COMPRIME ENROBE SECABLE,1 BOITE 60 COMPRIME,384.00,255.00,384.00,A,HYPOLIPEMIANT,70
6118000071099,AFRIC-PHAR,REDLIP,SIMVASTATINE,40,MG,COMPRIME ENROBE SECABLE,1 BOITE 30 COMPRIME,138.00,86.20,138.00,A,HYPOLIPEMIANT,70
6118000071075,AFRIC-PHAR,REDLIP,SIMVASTATINE,20,MG,COMPRIME ENROBE SECABLE,1 BOITE 30 COMPRIME,94.30,58.90,94.30,A,HYPOLIPEMIANT,70
6118000420286,ATLAS PHARM,REDLIP 20 MG,SIMVASTATINE,20,MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME PELLICULE,94.30,58.90,94.30,A,HYPOLIPEMIANT,70
6118000420309,ATLAS PHARM,REDLIP 40 MG,SIMVASTATINE,40,MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME PELLICULE,138.00,86.20,138.00,A,HYPOLIPEMIANT,70
6118010138065,BHC,REDOXON,ACIDE ASCORBIQUE,1000 ,MG,COMPRIME EFFERVESCENT,1 BOITE 10 COMPRIME EFFERVESCENT,25.00,15.60,,N,VITAMINES/ELEMENTS MINERAUX,0
6118010138065,BHC,REDOXON,ZINC, 10,MG,COMPRIME EFFERVESCENT,1 BOITE 10 COMPRIME EFFERVESCENT,25.00,15.60,,N,VITAMINES/ELEMENTS MINERAUX,0
6118000131182,GENPHARMA,REDUS 75 MG,CLOPIDOGREL,75,MG,COMPRIME PELLICULE,1 BOITE 28 COMPRIME PELLICULE,160.00,100.00,160.00,A,ANTIAGREGANT PLAQUETTAIRE,70
6118000131199,GENPHARMA,REDUS 75 MG,CLOPIDOGREL,75,MG,COMPRIME PELLICULE,1 BOITE 14 COMPRIME PELLICULE,85.00,53.10,85.00,A,ANTIAGREGANT PLAQUETTAIRE,70
6118001171156,PFIZER,REFACTO AF 1000 UI,MOROCTOCOG ALFA,1000,UI,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 SERINGUE PREREMPLIE,6377.00,6153.00,6377.00,A,FACTEUR DE COAGULATION,70
6118010142048,PFIZER,REFACTO AF 2000 UI,MOROCTOCOG ALFA,2000,UI,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 SERINGUE PREREMPLIE,12355.00,12120.00,,A,FACTEUR DE COAGULATION,0
