nom,dosage,forme,substance_active,classe_therapeutique,epi_laboratoire,statut_commercialisation,statut_amm,presentation,pp_gn,ppv,ph,pfht,tva,lien_rcp_naf,source_page
SUPPOSEDAL PARACETAMOL NOURRISSON,100   MG,SUPPOSITOIRE,PARACETAMOL // GRINDELIA // GELSEMIUM,ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,PHARMA 5,Commercialisé,AMM ENREGISTREE,BOITE DE 12,GN,"15,90 DH","9,90 DH","9,46 DH",0%,-,417
SUPRADOL,125   MG,SOLUTE,TRAMADOL (CHLORHYDRATE),ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,GALENICA,AMM sans prix,AMM ENREGISTREE,-,GN,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,417
SUPRADOL,200   MG,GELULE,TRAMADOL (CHLORHYDRATE),ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,GALENICA,AMM sans prix,AMM ENREGISTREE,-,GN,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,417
SUPRADOL,50   MG,GELULE,TRAMADOL (CHLORHYDRATE),ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,GALENICA,AMM sans prix,AMM ENREGISTREE,-,GN,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,418
SUPRADYNE PRONATAL,-,COMPRIME PELLICULE,ASSOCIATION VITAMINIQUE // SELS MINERAUX,NUTRITION-METABOLISME-SOLUTES DE PERFUSION,BAYER,Non Commercialisé,AMM ENREGISTREE,BOITE DE 30,NA,"72,60 DH","45,40 DH","43,22 DH",0%,-,418
SUPRALER,5   MG,COMPRIME ENROBE,LEVOCETIRIZINE (DICHLORHYDRATE),PNEUMOLOGIE-ALLERGOLOGIE,GENPHARMA,Commercialisé,AMM ENREGISTREE,BOITE DE 14,GN,"37,40 DH","23,40 DH","22,29 DH",0%,-,418
SUPRALER,5   MG,COMPRIME ENROBE,LEVOCETIRIZINE (DICHLORHYDRATE),PNEUMOLOGIE-ALLERGOLOGIE,GENPHARMA,Commercialisé,AMM ENREGISTREE,BOITE DE 28,GN,"65,90 DH","41,20 DH","39,23 DH",0%,-,418
SUPRALER,5   MG,COMPRIME ENROBE,LEVOCETIRIZINE (DICHLORHYDRATE),PNEUMOLOGIE-ALLERGOLOGIE,GENPHARMA,Commercialisé,AMM ENREGISTREE,BOITE DE 7,GN,"21,00 DH","13,10 DH","12,48 DH",0%,-,418
SUPRALOX,600   MG  /  900   MG,SUSPENSION BUVABLE,ALUMINIUM (PHOSPHATE) // ALUMINIUM (HYDROXYDE),GASTROENTEROLOGIE-HEPATOLOGIE,COOPER PHARMA,Non Commercialisé,AMM ENREGISTREE,F/250ML,PP,"43,90 DH","27,40 DH","26,15 DH",0%,-,418
SUPRANE,1  ML  /   ML,LIQUIDE POUR INHALATION PAR VAPEUR,DESFLURANE,ANESTHESIE-REANIMATION,AFRIC PHAR,Commercialisé AO,AMM ENREGISTREE,BOITE DE 6 FLACONS DE CAPACITE DE 250 ML CONTENANT 240 ML DE DESFLURANE,PP,4.801.00 DH,4.530.00 DH,4.315.11 DH,0%,-,418
SUPRIMASE,150   MG,GELULE,FLUCONAZOLE,INFECTIOLOGIE-PARASITOLOGIE,ATLAS PHARM,Non Commercialisé,AMM ENREGISTREE,BOITE DE 4,GN,"73,80 DH","46,10 DH","43,95 DH",0%,-,418
SUPRIMASE,150   MG,GELULE,FLUCONAZOLE,INFECTIOLOGIE-PARASITOLOGIE,ATLAS PHARM,Non Commercialisé,AMM ENREGISTREE,BOITE UNITAIRE,GN,"22,40 DH","14,00 DH","13,35 DH",0%,-,418
SUPRIMASE,50   MG,GELULE,FLUCONAZOLE,INFECTIOLOGIE-PARASITOLOGIE,ATLAS PHARM,Non Commercialisé,AMM ENREGISTREE,BOITE DE 7,GN,"78,30 DH","48,90 DH","46,59 DH",0%,-,418
SUPRIMASE DUO,150   MG,GELULE,FLUCONAZOLE,INFECTIOLOGIE-PARASITOLOGIE,ATLAS PHARM,Non Commercialisé,AMM ENREGISTREE,BOITE DE 2,GN,"39,50 DH","24,70 DH","23,49 DH",0%,-,418
SURGAM,100   MG,COMPRIME SECABLE,ACIDE TIAPROFENIQUE,ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,COOPER PHARMA,Commercialisé,AMM ENREGISTREE,BOITE DE 30,PP,"31,80 DH","19,80 DH","18,91 DH",0%,-,418
SURGAM,200   MG,COMPRIME SECABLE,ACIDE TIAPROFENIQUE,ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,COOPER PHARMA,Commercialisé,AMM ENREGISTREE,BOITE DE 20,PP,"51,80 DH","32,40 DH","30,82 DH",0%,-,418
SURMONTIL,0.04,SOLUTION BUVABLE,TRIMIPRAMINE (MALEATE),PSYCHIATRIE,MAPHAR,Non Commercialisé,AMM ENREGISTREE,BOITE DE 1 FLACON DE 30 ML,PP,"50,70 DH","31,70 DH","30,21 DH",0%,-,418
SURMONTIL,25   MG,COMPRIME,TRIMIPRAMINE (MALEATE),PSYCHIATRIE,MAPHAR,Non Commercialisé,AMM ENREGISTREE,BOITE DE 50,PP,"46,30 DH","28,90 DH","27,54 DH",0%,-,418
SUSTANON,250   MG,SOLUTE INJECTABLE IM,TESTOSTERONE (PROPIONATE) // TESTOSTERONE (PHENYLPROPIONATE) // TESTOSTERONE (ISOCAPROATE) // TESTOSTERONE (DECANOATE),ENDOCRINOLOGIE-METABOLISME,MSD,Non Commercialisé,AMM ENREGISTREE,BOITE DE 1,PP,"42,00 DH","26,30 DH","25,03 DH",0%,-,418
SUTENT,"12,5   MG",GELULE,SUNITINIB (MALATE),CANCEROLOGIE,PFIZER,Commercialisé,AMM ENREGISTREE,BOITE DE 30,PP,9.920.00 DH,9.733.00 DH,9.333.33 DH,0%,-,418
SUTENT,25   MG,GELULE,SUNITINIB (MALATE),CANCEROLOGIE,PFIZER,Commercialisé,AMM ENREGISTREE,BOITE DE 30,PP,19.440.00 DH,19.066.00 DH,18.666.67 DH,0%,-,418
SUTENT,50   MG,GELULE,SUNITINIB (MALATE),CANCEROLOGIE,PFIZER,Commercialisé,AMM ENREGISTREE,BOITE DE 30,PP,38.480.00 DH,37.733.00 DH,37.333.33 DH,0%,-,418
SUVAS IBERMA,10 MG,COMPRIMES PELLICULES,ROSUVASTATINE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,IBERMA,Commercialisé,AMM ENREGISTREE,BOITE DE 10,GN,"51,00 DH","31,90 DH","30,36 DH",0%,-,418
SUVAS IBERMA,10 MG,COMPRIMES PELLICULES,ROSUVASTATINE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,IBERMA,Commercialisé,AMM ENREGISTREE,BOITE DE 30,GN,"153,00 DH","95,60 DH","91,07 DH",0%,-,419
SUVAS IBERMA,20 MG,COMPRIMES PELLICULES,ROSUVASTATINE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,IBERMA,Commercialisé,AMM ENREGISTREE,BOITE DE 10,GN,"81,70 DH","51,00 DH","48,61 DH",0%,-,419
SUVAS IBERMA,20 MG,COMPRIMES PELLICULES,ROSUVASTATINE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,IBERMA,Commercialisé,AMM ENREGISTREE,BOITE DE 30,GN,"244,00 DH","153,10 DH","145,83 DH",0%,-,419
SUVREZA,20   MG  /  10   MG,COMPRIME PELLICULE,ROSUVASTATINE // EZETIMIBE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,SANOFI AVENTIS,Non Commercialisé,AMM ENREGISTREE,BOITE DE 30 COMPRIMES PELLICULES.,PP,"322,00 DH","214,00 DH","204,24 DH",0%,-,419
SUVREZA,10   MG  /  10   MG,COMPRIME PELLICULE,ROSUVASTATINE // EZETIMIBE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,SANOFI AVENTIS,Non Commercialisé,AMM ENREGISTREE,BOITE DE 30 COMPRIMES PELLICULES.,PP,"318,00 DH","211,00 DH","201,67 DH",0%,-,419
SYBRAVA,284   MG,"SOLUTION INJECTABLE (SC) SERINGUE PREREMPLIE DE 1,5 ML",INCLISIRAN,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,NOVARTIS PHARMA,Non Commercialisé,AMM ENREGISTREE,"BOITE DE 1 SERINGUE PREREMPLIE DE 1,5 ML",PP,25.010.00 DH,24.527.00 DH,24.127.46 DH,0%,-,419
