nom,dosage,forme,substance_active,classe_therapeutique,epi_laboratoire,statut_commercialisation,statut_amm,presentation,pp_gn,ppv,ph,pfht,tva,lien_rcp_naf,source_page
18-FDG RIM,250 MBQ   /    ML,SOLUTION INJECTABLE,FLUDESOXYGLUCOSE (18F),DIAGNOSTIC-IMAGERIE,RIM PHARMA,Commercialisé,AMM ENREGISTREE,FLACON MONO DOSE DE 15 ML,RX,4.303.00 DH,4.018.00 DH,3.827.33 DH,0%,-,1
18F PSMA RIM,250 MBQ  /   ML,SOLUTION INJECTABLE,[18F] PSMA-1007,DIAGNOSTIC-IMAGERIE,RIM PHARMA,AMM sans prix,AMM ENREGISTREE,BOITE D'UN FLACON MONODOSE DE 15 ML,RX,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,1
18F PSMA RIM,250 MBQ  /   ML,SOLUTION INJECTABLE,[18F] PSMA-1007,DIAGNOSTIC-IMAGERIE,RIM PHARMA,AMM sans prix,AMM ENREGISTREE,BOITE D'UN FLACON MULTIDOSE DE 15 ML,RX,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,1
18F-PSMA CYCLOPHARMA,1300 MBQ   /    ML,"SOLUTION INJECTABLE, FLACON MULTIDOSE DE 10 ML DE SOLUTION MAXIMUM.",[18F] PSMA-1007,DIAGNOSTIC-IMAGERIE,CYCLOPHARMA,AMM sans prix,AMM ENREGISTREE,"FLACON MULTIDOSE EN VERRE DE 15 ML , CONTIENT UN VOLUME COMPRIS ENTRE 0.5 ET 10 ML DE SOLUTION",RX,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,1
A.V.T.,"0,5 G  /  0,002 G  /  0,02 G",COMPRIME EFFERVESCENT,ACIDE ACETYLSALICYLIQUE // VITAMINE B1 (THIAMINE) // VITAMINE C (ACIDE ASCORBIQUE),ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,LAPROPHAN,Commercialisé AO,AMM ENREGISTREE,BOITE DE 10,NA,"10,70 DH","6,70 DH","6,40 DH",0%,-,1
A.V.T.,"0,5 G  /  0,002 G  /  0,02 G",COMPRIME EFFERVESCENT,ACIDE ACETYLSALICYLIQUE // VITAMINE B1 (THIAMINE) // VITAMINE C (ACIDE ASCORBIQUE),ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,LAPROPHAN,Commercialisé,AMM ENREGISTREE,BOITE DE 20,NA,"19,10 DH","12,00 DH","11,40 DH",0%,-,1
ABACT,1000   MG,POUDRE ET SOLVANT POUR PREPARATION INJECTABLE,AMPICILLINE,INFECTIOLOGIE-PARASITOLOGIE,PHARMED,AMM sans prix,AMM ENREGISTREE,BOITE DE 1 FLACON DE POUDRE ET 1 AMPOULE DE SOLVANT,GN,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,1
ABACT,250   MG,POUDRE ET SOLVANT POUR PREPARATION INJECTABLE,AMPICILLINE,INFECTIOLOGIE-PARASITOLOGIE,PHARMED,AMM sans prix,AMM ENREGISTREE,BOITE DE 1 FLACON DE POUDRE ET 1 AMPOULE DE SOLVANT,GN,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,1
ABACT,500   MG,POUDRE ET SOLVANT POUR PREPARATION INJECTABLE,AMPICILLINE,INFECTIOLOGIE-PARASITOLOGIE,PHARMED,AMM sans prix,AMM ENREGISTREE,BOITE DE 1 FLACON DE POUDRE ET 1 AMPOULE DE SOLVANT,GN,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,1
ABBOTICINE,200   MG,GRANULE POUR SUSPENSION BUVABLE,ERYTHROMYCINE (ETHYLSUCCINATE),INFECTIOLOGIE-PARASITOLOGIE,MAPHAR,Non Commercialisé,AMM ENREGISTREE,BOITE DE 1 FLACON DE 60 ML,PP,"25,10 DH","15,70 DH","14,94 DH",0%,-,1
ABILIFY,10   MG,COMPRIME,ARIPIPRAZOLE,PSYCHIATRIE,MAPHAR,Non Commercialisé,AMM ENREGISTREE,BOITE DE 28,PP,1.200.00 DH,"927,00 DH","883,18 DH",0%,-,1
ABILIFY,15   MG,COMPRIME,ARIPIPRAZOLE,PSYCHIATRIE,MAPHAR,Non Commercialisé,AMM ENREGISTREE,BOITE DE 28,PP,1.200.00 DH,"927,00 DH","883,18 DH",0%,-,1
ABIP,15   MG,COMPRIMES PELLICULES,ARIPIPRAZOLE,PSYCHIATRIE,SUN PHARMACEUTICALS NORTH AFRICA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 20 COMPRIMES PELLICULES,GN,"268,00 DH","168,00 DH","160,00 DH",0%,-,1
ABIP,15   MG,COMPRIMES PELLICULES,ARIPIPRAZOLE,PSYCHIATRIE,SUN PHARMACEUTICALS NORTH AFRICA,Commercialisé,AMM ENREGISTREE,BOITE DE 30 COMPRIMES PELLICULES,GN,"372,00 DH","247,00 DH","236,00 DH",0%,-,1
ABIRANAT,250   MG,COMPRIME,ABIRATERONE (ACETATE),CANCEROLOGIE,AMANYS PHARMA,Commercialisé,AMM ENREGISTREE,BOITE D’UN FLACON DE 120 COMPRIMES.,GN,10.411.00 DH,10.215.00 DH,9.815.00 DH,0%,-,1
ABIRATERONE GT,250   MG,COMPRIME,ABIRATERONE (ACETATE),CANCEROLOGIE,ATLAS PHARM,Commercialisé,AMM ENREGISTREE,BOITE DE 1 FLACON DE 120,GN,10.411.00 DH,10.215.00 DH,9.815.00 DH,0%,-,1
ABSTRAL,100 µG,COMPRIME SUBLINGUAL,FENTANYL,ANESTHESIE-REANIMATION,SOTHEMA,Commercialisé,AMM ENREGISTREE,BOITE DE 10,PP,"876,00 DH","582,00 DH","554,62 DH",0%,-,1
ABSTRAL,200 µG,COMPRIME SUBLINGUAL,FENTANYL,ANESTHESIE-REANIMATION,SOTHEMA,Commercialisé,AMM ENREGISTREE,BOITE DE 10,PP,"876,00 DH","582,00 DH","554,62 DH",0%,-,1
ABSTRAL,400 µG,COMPRIME SUBLINGUAL,FENTANYL,ANESTHESIE-REANIMATION,SOTHEMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 10,PP,"876,00 DH","582,00 DH","554,62 DH",0%,-,1
ACARBOSE LAPROPHAN,100   MG,COMPRIME,ACARBOSE,ENDOCRINOLOGIE-METABOLISME,LAPROPHAN,Non Commercialisé,AMM ENREGISTREE,BOITE DE 30,GN,"64,40 DH","40,20 DH","38,33 DH",0%,-,1
ACARBOSE LAPROPHAN,50   MG,COMPRIME,ACARBOSE,ENDOCRINOLOGIE-METABOLISME,LAPROPHAN,Non Commercialisé,AMM ENREGISTREE,BOITE DE 30,GN,"42,20 DH","26,40 DH","25,15 DH",0%,-,2
ACARBOSE LAPROPHAN,100   MG,COMPRIME,ACARBOSE,ENDOCRINOLOGIE-METABOLISME,LAPROPHAN,Non Commercialisé,AMM ENREGISTREE,BOITE DE 90,GN,"166,10 DH","103,80 DH","98,89 DH",0%,-,2
ACARBOSE LAPROPHAN,50   MG,COMPRIME,ACARBOSE,ENDOCRINOLOGIE-METABOLISME,LAPROPHAN,Non Commercialisé,AMM ENREGISTREE,BOITE DE 90,GN,"109,00 DH","68,10 DH","64,88 DH",0%,-,2
ACARD,50   MG,COMPRIME PELLICULE,LOSARTAN (POTASSIQUE),CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,MC PHARMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 14,GN,"40,00 DH","25,00 DH","23,79 DH",0%,-,2
ACARD,50   MG,COMPRIME PELLICULE,LOSARTAN (POTASSIQUE),CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,MC PHARMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 28,GN,"77,20 DH","48,20 DH","45,96 DH",0%,-,2
ACCUPRIL,20   MG,COMPRIME,QUINAPRIL,NA,PFIZER,Retiré du Marché,AMM RETIREE,BOITE DE 28,PP,"70,10 DH","43,80 DH","41,72 DH",0%,-,2
ACCUPRIL,5   MG,COMPRIME,QUINAPRIL,NA,PFIZER,Retiré du Marché,AMM RETIREE,BOITE DE 28,PP,"37,50 DH","23,40 DH","22,31 DH",0%,-,2
ACCURECIL,250   MG,SOLUTION POUR INJECTION / PERFUSION IV,FLUOROURACILE,CANCEROLOGIE,ZENITH PHARMA,Commercialisé,AMM ENREGISTREE,BOITE D'UN FLACON DE 5 ML,GN,"27,00 DH","16,90 DH","16,10 DH",0%,-,2
ACCURECIL,500   MG,SOLUTION POUR INJECTION / PERFUSION IV,FLUOROURACILE,CANCEROLOGIE,ZENITH PHARMA,Commercialisé,AMM ENREGISTREE,BOITE D'UN FLACON DE 10 ML,GN,"45,90 DH","28,70 DH","27,30 DH",0%,-,2
ACEPRIL,2   MG,COMPRIME,PERINDOPRIL (TERT-BUTYLAMINE),CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,GENPHARMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 28,GN,"44,00 DH","27,50 DH","26,19 DH",0%,-,2
ACEPRIL,4   MG,COMPRIME,PERINDOPRIL (TERT-BUTYLAMINE),CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,GENPHARMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 28,GN,"85,90 DH","53,70 DH","51,11 DH",0%,-,2
ACEPRIL,8   MG,COMPRIME,PERINDOPRIL (TERT-BUTYLAMINE),CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,GENPHARMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 28,GN,"133,10 DH","83,20 DH","79,26 DH",0%,-,2
ACEPRIL PLUS,"4   MG  /  1,25   MG",COMPRIME,PERINDOPRIL (TERT-BUTYLAMINE) // INDAPAMIDE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,GENPHARMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 28,GN,"118,00 DH","73,70 DH","70,24 DH",0%,-,2
ACETATE,-,CONCENTRE LIQUIDE D'HEMODIALYSE,CHLORURE DE SODIUM // CHLORHEXIDINE DIGLUCONATE // CHLORURE DE MAGNESIUM HEXAHYDRATE // CHLORURE DE POTASSIUM // ACETATE DE SODIUM 3H2O,UROLOGIE-NEPHROLOGIE,SOLUDIA MAGHREB,Non Commercialisé,AMM ENREGISTREE,BIDON DE 10 L,NA,"172,80 DH","108,00 DH","102,86 DH",0%,-,2
ACETHIO,500   MG  /  2   MG,COMPRIME,PARACETAMOL // THIOCOLCHICOSIDE,RHUMATOLOGIE,SYNTHEMEDIC,Commercialisé,AMM ENREGISTREE,BOITE DE 20,GN,"34,60 DH","21,60 DH","20,58 DH",0%,-,2
ACFOL,5   MG,COMPRIME,VITAMINE B9 (ACIDE FOLIQUE),CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,VERSALYA,Commercialisé,AMM ENREGISTREE,BOITE DE 28,GN,"24,50 DH","15,30 DH","14,60 DH",0%,-,2
ACICLOVIR ARWA MEDIC,250   MG,"POUDRE POUR SOLUTION POUR PERFUSION IV, EN FLACON DE 10ML",ACICLOVIR,INFECTIOLOGIE-PARASITOLOGIE,ARWA MEDIC,Commercialisé,AMM ENREGISTREE,BOITE DE 5 FLACONS DE 10 ML.,GN,"586,00 DH","389,00 DH","371,00 DH",0%,-,2
ACICLOVIR ISIO,250  MG,POUDRE POUR SOLUTION INJECTABLE,ACICLOVIR,INFECTIOLOGIE-PARASITOLOGIE,ISIO LABORATOIRES,Commercialisé,AMM ENREGISTREE,BOITES DE 1 FLACON,GN,"104,10 DH","65,10 DH","61,97 DH",0%,-,2
ACICLOVIR ISIO,250  MG,POUDRE POUR SOLUTION INJECTABLE,ACICLOVIR,INFECTIOLOGIE-PARASITOLOGIE,ISIO LABORATOIRES,Commercialisé,AMM ENREGISTREE,BOITES DE 5 FLACONS,GN,"450,00 DH","299,00 DH","285,06 DH",0%,-,2
ACICLOVIR ISIO,250  MG,POUDRE POUR SOLUTION INJECTABLE,ACICLOVIR,INFECTIOLOGIE-PARASITOLOGIE,ISIO LABORATOIRES,Commercialisé,AMM ENREGISTREE,BOITES DE 10 FLACONS,GN,"783,00 DH","520,00 DH","495,76 DH",0%,-,2
ACICLOVIR ISIO,500  MG,POUDRE POUR SOLUTION INJECTABLE,ACICLOVIR,INFECTIOLOGIE-PARASITOLOGIE,ISIO LABORATOIRES,Non Commercialisé,AMM ENREGISTREE,BOITES DE 1 FLACON,GN,"172,00 DH","107,50 DH","102,38 DH",0%,-,3
ACICLOVIR ISIO,500  MG,POUDRE POUR SOLUTION INJECTABLE,ACICLOVIR,INFECTIOLOGIE-PARASITOLOGIE,ISIO LABORATOIRES,Commercialisé AO,AMM ENREGISTREE,BOITES DE 5 FLACONS,GN,"673,00 DH","447,00 DH","426,58 DH",0%,-,3
ACICLOVIR ISIO,500  MG,POUDRE POUR SOLUTION INJECTABLE,ACICLOVIR,INFECTIOLOGIE-PARASITOLOGIE,ISIO LABORATOIRES,Non Commercialisé,AMM ENREGISTREE,BOITES DE 10 FLACONS,GN,1.039.00 DH,"761,00 DH","725,19 DH",0%,-,3
ACICLOVIR VIATRIS,250   MG,POUDRE POUR SOLUTION INJECTABLE (IV),ACICLOVIR,INFECTIOLOGIE-PARASITOLOGIE,VIATRIS PHARMACEUTICALS,Commercialisé,AMM ENREGISTREE,BOITE DE 5 FLACONS DE 10 ML,GN,"628,00 DH","417,00 DH","397,61 DH",0%,-,3
ACICLOVIR VIATRIS,500   MG,POUDRE POUR SOLUTION INJECTABLE (IV),ACICLOVIR,INFECTIOLOGIE-PARASITOLOGIE,VIATRIS PHARMACEUTICALS,Commercialisé AO,AMM ENREGISTREE,BOITE DE 5 FLACONS DE 20 ML,GN,"674,00 DH","447,00 DH","426,62 DH",0%,-,3
ACIDAC,150   MG,COMPRIME,RANITIDINE,GASTROENTEROLOGIE-HEPATOLOGIE,GENPHARMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 30,GN,"56,10 DH","35,00 DH","33,38 DH",0%,-,3
ACIDAC,150   MG,COMPRIME,RANITIDINE,GASTROENTEROLOGIE-HEPATOLOGIE,GENPHARMA,Commercialisé AO,AMM ENREGISTREE,BOITE DE 60,GN,"84,10 DH","52,60 DH","50,07 DH",0%,-,3
ACIDAC,300   MG,COMPRIME,RANITIDINE,GASTROENTEROLOGIE-HEPATOLOGIE,GENPHARMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 14,GN,"56,10 DH","35,00 DH","33,38 DH",0%,-,3
ACIDAC,300   MG,COMPRIME,RANITIDINE,GASTROENTEROLOGIE-HEPATOLOGIE,GENPHARMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 30,GN,"84,10 DH","52,60 DH","50,07 DH",0%,-,3
ACIDE ALENDRONIQUE GT,70   MG,COMPRIME PELLICULE,ACIDE ALENDRONIQUE,RHUMATOLOGIE,ATLAS PHARM,Commercialisé,AMM ENREGISTREE,BOITE DE 4,GN,"164,50 DH","102,80 DH","97,91 DH",0%,-,3
ACIDE ALENDRONIQUE NORMON,70   MG,COMPRIME,ACIDE ALENDRONIQUE,RHUMATOLOGIE,IBERMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 4,GN,"164,50 DH","102,80 DH","97,91 DH",0%,-,3
ACIDE EM,-,SOLUTE CONCENTRE POUR HEMODIALYSE,CONCENTRE HEMODIALYSE (CHLORURE DE SODIUM // CHLORURE DE POTASSIUM // CHLORURE DE CALCIUM // CHLORURE DE MAGNESIUM // ACIDE ACETIQUE GLACIAL),UROLOGIE-NEPHROLOGIE,ERGO MAROC,Non Commercialisé,AMM ENREGISTREE,BIDON DE 10 L,GN,"144,00 DH","90,00 DH","85,71 DH",0%,-,3
ACIDE EM,-,SOLUTE CONCENTRE POUR HEMODIALYSE,CONCENTRE HEMODIALYSE (CHLORURE DE SODIUM // CHLORURE DE POTASSIUM // CHLORURE DE CALCIUM // CHLORURE DE MAGNESIUM // ACIDE ACETIQUE GLACIAL°,UROLOGIE-NEPHROLOGIE,ERGO MAROC,Commercialisé,AMM ENREGISTREE,BIDON DE 5 L,GN,"75,00 DH","46,90 DH","44,67 DH",0%,-,3
ACIDE SANS ACETATE,-,SOLUTION CONCENTREE ACIDE,CHLORURE DE SODIUM // CHLORURE DE POTASSIUM // CHLORURE DE CALCIUM // CHLORURE DE MAGNESIUM // ACIDE CHLORHYDRIQUE,UROLOGIE-NEPHROLOGIE,SOLUDIA MAGHREB,AMM sans prix,AMM ENREGISTREE,POCHE DE 5 LITRES,-,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,3
ACIDE SANS ACETATE,-,SOLUTION CONCENTREE ACIDE POUR HEMODIALYSE,CHLORURE DE SODIUM // CHLORURE DE POTASSIUM // CHLORURE DE CALCIUM // CHLORURE DE MAGNESIUM // ACIDE CHLORHYDRIQUE,UROLOGIE-NEPHROLOGIE,SOLUDIA MAGHREB,AMM sans prix,AMM ENREGISTREE,POCHE DE 5 LITRES,-,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,3
ACIDE TIAPROFENIQUE,100   MG,COMPRIME SECABLE,ACIDE TIAPROFENIQUE,NA,MAPHAR,Retiré du Marché,AMM RETIREE,BOITE DE 10,GN,"11,60 DH","7,20 DH","6,45 DH",0%,-,3
ACIDE TIAPROFENIQUE,100   MG,COMPRIME SECABLE,ACIDE TIAPROFENIQUE,NA,MAPHAR,Retiré du Marché,AMM RETIREE,BOITE DE 20,GN,"20,00 DH","12,50 DH","11,13 DH",0%,-,3
ACIDE TIAPROFENIQUE,100   MG,COMPRIME SECABLE,ACIDE TIAPROFENIQUE,NA,MAPHAR,Retiré du Marché,AMM RETIREE,BOITE DE 30,GN,"26,00 DH","16,20 DH","14,46 DH",0%,-,3
ACIDE ZOLEDRONIQUE COOPER,4   MG  /  5  ML,SOLUTION POUR PERFUSION (IV),ACIDE ZOLEDRONIQUE,RHUMATOLOGIE,COOPER PHARMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 1 FLACON DE 10 ML,GN,1.356.00 DH,1.088.00 DH,1.036.25 DH,0%,-,3
ACIDE ZOLEDRONIQUE MYLAN,4   MG  /  5  ML,SOLUTION A DILUER POUR PERFUSION,ACIDE ZOLEDRONIQUE,RHUMATOLOGIE,VIATRIS PHARMACEUTICALS,Commercialisé,AMM ENREGISTREE,BOITE D'UN FLACON DE 5 ML,GN,1.356.00 DH,1.088.00 DH,1.036.25 DH,0%,-,3
ACIDE ZOLEDRONIQUE PROMOPHARM,4   MG  /  5  ML,SOLUTION A DILUER POUR PERFUSION,ACIDE ZOLEDRONIQUE,RHUMATOLOGIE,PROMOPHARM,Commercialisé AO,AMM ENREGISTREE,BOITE D'UN FLACON DE 5 ML,GN,1.356.00 DH,1.088.00 DH,1.036.25 DH,0%,-,4
ACIDE ZOLEDRONIQUE SP,4   MG  /  5  ML,SOLUTION A DILUER POUR PERFUSION,ACIDE ZOLEDRONIQUE,RHUMATOLOGIE,AMANYS PHARMA,Commercialisé,AMM ENREGISTREE,BOITE DE 1 FLACON DE 5 ML,GN,1.255.00 DH,"983,00 DH","936,50 DH",0%,-,4
ACIGAM,100   MG,COMPRIME SECABLE,ACIDE TIAPROFENIQUE,ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,BOTTU,Commercialisé,AMM ENREGISTREE,BOITE DE 30,GN,"27,00 DH","16,90 DH","16,08 DH",0%,-,4
ACIGAM,200   MG,COMPRIME SECABLE,ACIDE TIAPROFENIQUE,ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,BOTTU,Commercialisé,AMM ENREGISTREE,BOITE DE 20,GN,"33,60 DH","21,00 DH","20,03 DH",0%,-,4
ACITRETINE IFC,10 MG,GELULES,ACITRETINE,DERMATOLOGIE-VENEROLOGIE,IBERMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 10,GN,"37,20 DH","23,20 DH","22,14 DH",0%,-,4
ACITRETINE IFC,10 MG,GELULES,ACITRETINE,DERMATOLOGIE-VENEROLOGIE,IBERMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 30,GN,"91,10 DH","57,00 DH","54,25 DH",0%,-,4
ACITRETINE IFC,25 MG,GELULES,ACITRETINE,DERMATOLOGIE-VENEROLOGIE,IBERMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 10,GN,"86,60 DH","54,10 DH","51,53 DH",0%,-,4
ACITRETINE IFC,25 MG,GELULES,ACITRETINE,DERMATOLOGIE-VENEROLOGIE,IBERMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 30,GN,"210,00 DH","131,50 DH","125,21 DH",0%,-,4
ACIVIR COOPER,400   MG,COMPRIME,ACICLOVIR,INFECTIOLOGIE-PARASITOLOGIE,COOPER PHARMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 25,GN,"226,00 DH","141,30 DH","134,62 DH",0%,-,4
ACIVIR COOPER,800   MG,COMPRIME,ACICLOVIR,INFECTIOLOGIE-PARASITOLOGIE,COOPER PHARMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 12,GN,"223,00 DH","139,60 DH","132,96 DH",0%,-,4
ACIVIR COOPER,800   MG,COMPRIME,ACICLOVIR,INFECTIOLOGIE-PARASITOLOGIE,COOPER PHARMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 25,GN,"346,00 DH","230,00 DH","219,40 DH",0%,-,4
ACIVIR COOPER,200   MG,COMPRIME,ACICLOVIR,INFECTIOLOGIE-PARASITOLOGIE,COOPER PHARMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 25,GN,"91,10 DH","56,90 DH","54,24 DH",0%,-,4
ACLASTA,5   MG  /  100  ML,SOLUTION POUR PERFUSION,ACIDE ZOLEDRONIQUE,RHUMATOLOGIE,SOTHEMA,Commercialisé,AMM ENREGISTREE,FLACON DE 100 ML,PP,3.041.00 DH,2.718.00 DH,2.589.47 DH,0%,-,4
ACLAV,1 G  /  100   MG,POUDRE POUR PREPARATION INJECTABLE,AMOXICILLINE // ACIDE CLAVULANIQUE,INFECTIOLOGIE-PARASITOLOGIE,PHARMA 5,Commercialisé AO / Export,AMM ENREGISTREE,BOITE DE 1 FLACON,GN,"33,60 DH","21,00 DH","20,03 DH",0%,-,4
ACLAV,1 G  /  125   MG,POUDRE POUR SUSPENSION BUVABLE,AMOXICILLINE // ACIDE CLAVULANIQUE,INFECTIOLOGIE-PARASITOLOGIE,PHARMA 5,Commercialisé,AMM ENREGISTREE,BOITE DE 12,GN,"92,50 DH","57,80 DH","55,07 DH",0%,-,4
ACLAV,1 G  /  125   MG,POUDRE POUR SUSPENSION BUVABLE,AMOXICILLINE // ACIDE CLAVULANIQUE,INFECTIOLOGIE-PARASITOLOGIE,PHARMA 5,Commercialisé,AMM ENREGISTREE,BOITE DE 14,GN,"107,50 DH","67,20 DH","63,97 DH",0%,-,4
ACLAV,1 G  /  125   MG,POUDRE POUR SUSPENSION BUVABLE,AMOXICILLINE // ACIDE CLAVULANIQUE,INFECTIOLOGIE-PARASITOLOGIE,PHARMA 5,Commercialisé,AMM ENREGISTREE,BOITE DE 16,GN,"123,40 DH","77,10 DH","73,43 DH",0%,-,4
ACLAV,1 G  /  125   MG,POUDRE POUR SUSPENSION BUVABLE,AMOXICILLINE // ACIDE CLAVULANIQUE,INFECTIOLOGIE-PARASITOLOGIE,PHARMA 5,Commercialisé,AMM ENREGISTREE,BOITE DE 24,GN,"174,80 DH","109,20 DH","104,03 DH",0%,-,4
ACLAV,1 G  /  200   MG,POUDRE POUR PREPARATION INJECTABLE,AMOXICILLINE // ACIDE CLAVULANIQUE,INFECTIOLOGIE-PARASITOLOGIE,PHARMA 5,Commercialisé,AMM ENREGISTREE,BOITE DE 1 FLACON,GN,"30,80 DH","19,30 DH","18,36 DH",0%,-,4
ACLAV,"100   MG  /  12,5   MG  /   ML",POUDRE POUR SUSPENSION BUVABLE,AMOXICILLINE // ACIDE CLAVULANIQUE,INFECTIOLOGIE-PARASITOLOGIE,PHARMA 5,Commercialisé AO / Export,AMM ENREGISTREE,2 FLACONS DE 30 ML,GN,"60,50 DH","37,80 DH","36,04 DH",0%,-,4
ACLAV,"100   MG  /  12,5   MG  /   ML",POUDRE POUR SUSPENSION BUVABLE,AMOXICILLINE // ACIDE CLAVULANIQUE,INFECTIOLOGIE-PARASITOLOGIE,PHARMA 5,Commercialisé AO / Export,AMM ENREGISTREE,2 FLACONS DE 60 ML,GN,"105,30 DH","65,80 DH","62,70 DH",0%,-,5
ACLAV,"100   MG  /  12,5   MG  /   ML",POUDRE POUR SUSPENSION BUVABLE,AMOXICILLINE // ACIDE CLAVULANIQUE,INFECTIOLOGIE-PARASITOLOGIE,PHARMA 5,Commercialisé,AMM ENREGISTREE,FLACON DE 30 ML,GN,"34,20 DH","21,40 DH","20,36 DH",0%,-,5
ACLAV,"100   MG  /  12,5   MG  /   ML",POUDRE POUR SUSPENSION BUVABLE,AMOXICILLINE // ACIDE CLAVULANIQUE,INFECTIOLOGIE-PARASITOLOGIE,PHARMA 5,Commercialisé,AMM ENREGISTREE,FLACON DE 60 ML,GN,"60,50 DH","37,80 DH","36,04 DH",0%,-,5
ACLAV,2 G  /  200   MG,POUDRE POUR PREPARATION INJECTABLE,AMOXICILLINE // ACIDE CLAVULANIQUE,INFECTIOLOGIE-PARASITOLOGIE,PHARMA 5,Commercialisé,AMM ENREGISTREE,BOITE DE 1 FLACON,GN,"43,00 DH","26,90 DH","25,59 DH",0%,-,5
ACLAV,500   MG  /  50   MG,POUDRE POUR PREPARATION INJECTABLE,AMOXICILLINE // ACIDE CLAVULANIQUE,INFECTIOLOGIE-PARASITOLOGIE,PHARMA 5,Commercialisé,AMM ENREGISTREE,BOITE DE 1 FLACON,GN,"18,70 DH","11,70 DH","11,11 DH",0%,-,5
ACLAV,"500   MG  /  62,5   MG",POUDRE POUR SUSPENSION BUVABLE,AMOXICILLINE // ACIDE CLAVULANIQUE,INFECTIOLOGIE-PARASITOLOGIE,PHARMA 5,Commercialisé,AMM ENREGISTREE,BOITE DE 12,GN,"74,60 DH","46,60 DH","44,43 DH",0%,-,5
ACLAV,"500   MG  /  62,5   MG",POUDRE POUR SUSPENSION BUVABLE,AMOXICILLINE // ACIDE CLAVULANIQUE,INFECTIOLOGIE-PARASITOLOGIE,PHARMA 5,Commercialisé,AMM ENREGISTREE,BOITE DE 16,GN,"99,50 DH","62,20 DH","59,24 DH",0%,-,5
ACLAV,"500   MG  /  62,5   MG",POUDRE POUR SUSPENSION BUVABLE,AMOXICILLINE // ACIDE CLAVULANIQUE,INFECTIOLOGIE-PARASITOLOGIE,PHARMA 5,Commercialisé,AMM ENREGISTREE,BOITE DE 24,GN,"113,50 DH","71,00 DH","67,59 DH",0%,-,5
ACLAV,250   MG  /  5  ML,POUDRE POUR SUSPENSION BUVABLE,AMOXICILLINE // ACIDE CLAVULANIQUE,INFECTIOLOGIE-PARASITOLOGIE,PHARMA 5,AMM sans prix,AMM ENREGISTREE,FLACON DE 60 ML,GN,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,5
ACLAV,500   MG  /  125   MG,COMPRIME,AMOXICILLINE // ACIDE CLAVULANIQUE,INFECTIOLOGIE-PARASITOLOGIE,PHARMA 5,AMM sans prix,AMM ENREGISTREE,BOITE DE 12,GN,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,5
