nom,dosage,forme,substance_active,classe_therapeutique,epi_laboratoire,statut_commercialisation,statut_amm,presentation,pp_gn,ppv,ph,pfht,tva,lien_rcp_naf,join_key
MAXIMAG,"1,5 G",SOLUTION BUVABLE EN AMPOULE,MAGNESIUM (PIDOLATE),NUTRITION-METABOLISME-SOLUTES DE PERFUSION,COOPER PHARMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 30,GN,57.2,35.7,34.05,0,,MAXIMAG|1.5G|SOLUTIONBUVABLEENAMPOULE
MAZAX,100 MG,SACHET,AZITHROMYCINE,INFECTIOLOGIE-PARASITOLOGIE,PHARMED,Commercialisé AO,AMM ENREGISTREE,BOITE DE 3,GN,44.8,28.0,26.7,0,,MAZAX|100MG|SACHET
MAZAX,200 MG / 5 ML,POUDRE POUR SUSPENSION BUVABLE,AZITHROMYCINE,INFECTIOLOGIE-PARASITOLOGIE,PHARMED,Commercialisé AO,AMM ENREGISTREE,FLACON DE 15 ML,GN,47.7,29.8,28.37,0,,MAZAX|200MG5ML|POUDREPOURSUSPENSIONBUVABLE
MAZAX,200 MG / 5 ML,POUDRE POUR SUSPENSION BUVABLE,AZITHROMYCINE,INFECTIOLOGIE-PARASITOLOGIE,PHARMED,Commercialisé AO,AMM ENREGISTREE,FLACON DE 30 ML,GN,57.0,35.6,33.93,0,,MAZAX|200MG5ML|POUDREPOURSUSPENSIONBUVABLE
MAZAX,200 MG,SACHET,AZITHROMYCINE,INFECTIOLOGIE-PARASITOLOGIE,PHARMED,Commercialisé AO,AMM ENREGISTREE,BOITE DE 3,GN,78.5,49.1,46.73,0,,MAZAX|200MG|SACHET
MAZAX,300 MG,SACHET,AZITHROMYCINE,INFECTIOLOGIE-PARASITOLOGIE,PHARMED,Commercialisé AO,AMM ENREGISTREE,BOITE DE 3,GN,119.6,74.8,71.21,0,,MAZAX|300MG|SACHET
MAZAX,400 MG,SACHET,AZITHROMYCINE,INFECTIOLOGIE-PARASITOLOGIE,PHARMED,Commercialisé AO,AMM ENREGISTREE,BOITE DE 3,GN,158.9,99.3,94.57,0,,MAZAX|400MG|SACHET
MAZAX,500 MG,COMPRIME PELLICULE,AZITHROMYCINE,INFECTIOLOGIE-PARASITOLOGIE,PHARMED,Commercialisé,AMM ENREGISTREE,BOITE DE 3,GN,56.1,35.0,33.38,0,,MAZAX|500MG|COMPRIMEPELLICULE
MEBEVERINE FORTE,135 MG,COMPRIME PELLICULE,MEBEVERINE (CHLORHYDRATE),GASTROENTEROLOGIE-HEPATOLOGIE,SOTHEMA,Commercialisé,AMM ENREGISTREE,BOITE DE 30,GN,51.2,32.0,30.46,0,,MEBEVERINEFORTE|135MG|COMPRIMEPELLICULE
MEBIZOL,0.02,SUSPENSION,MEBENDAZOLE,INFECTIOLOGIE-PARASITOLOGIE,GALENICA,Commercialisé Export,AMM ENREGISTREE,FLACON DE 30 ML,GN,15.2,9.5,9.07,0,,MEBIZOL|0.02|SUSPENSION
MEBIZOL,100 MG,COMPRIME,MEBENDAZOLE,INFECTIOLOGIE-PARASITOLOGIE,GALENICA,Commercialisé Export,AMM ENREGISTREE,BOITE DE 6,GN,13.4,8.3,7.96,0,,MEBIZOL|100MG|COMPRIME
MEBO,"81 - 85,5 G / 100 G",POMMADE,BETA SITOSTEROL,DERMATOLOGIE-VENEROLOGIE,NOVOPHARMA,Commercialisé,AMM ENREGISTREE,TUBE DE 30 G,GN,130.8,81.8,77.88,0,,MEBO|8185.5G100G|POMMADE
MECIR LP,"0,4 MG",COMPRIME PELLICULE A LIBERATION PROLONGEE,TAMSULOSINE (CHLORHYDRATE),,BOTTU,Retiré du Marché,AMM RETIREE,BOITE DE 30,PP,121.4,75.6,67.53,0,,MECIRLP|0.4MG|COMPRIMEPELLICULEALIBERATIONPROLONGEE
MEDEP,10 MG,COMPRIME,AMLODIPINE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,GYNEBIO PHARMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 14,GN,36.7,22.9,21.84,0,,MEDEP|10MG|COMPRIME
MEDEP,10 MG,COMPRIME,AMLODIPINE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,GYNEBIO PHARMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 28,GN,70.9,44.3,42.19,0,,MEDEP|10MG|COMPRIME
MEDEP,10 MG,COMPRIME,AMLODIPINE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,GYNEBIO PHARMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 56,GN,140.1,87.5,83.39,0,,MEDEP|10MG|COMPRIME
MEDEP,5 MG,COMPRIME,AMLODIPINE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,GYNEBIO PHARMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 14,GN,25.0,15.6,14.88,0,,MEDEP|5MG|COMPRIME
MEDEP,5 MG,COMPRIME,AMLODIPINE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,GYNEBIO PHARMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 28,GN,48.3,30.2,28.76,0,,MEDEP|5MG|COMPRIME
MEDEP,5 MG,COMPRIME,AMLODIPINE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,GYNEBIO PHARMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 56,GN,95.5,59.7,56.85,0,,MEDEP|5MG|COMPRIME
MEDIBRONC ADULTE,5 G / 100 ML,SOLUTION BUVABLE,CARBOCISTEINE,PNEUMOLOGIE-ALLERGOLOGIE,SOTHEMA,Commercialisé,AMM ENREGISTREE,FLACON DE 150 ML,PP,24.8,15.5,14.74,0,,MEDIBRONCADULTE|5G100ML|SOLUTIONBUVABLE
MEDIBRONC ENFANT,2 G / 100 ML,SIROP,CARBOCISTEINE,PNEUMOLOGIE-ALLERGOLOGIE,SOTHEMA,Commercialisé,AMM ENREGISTREE,FLACON DE 150 ML,PP,15.3,9.6,9.12,0,,MEDIBRONCENFANT|2G100ML|SIROP
MEDIVEINE,300 MG,COMPRIME,DIOSMINE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,SOTHEMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 30,PP,39.2,24.5,23.36,0,,MEDIVEINE|300MG|COMPRIME
MEDIVEINE,300 MG,COMPRIME,DIOSMINE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,SOTHEMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 60,PP,58.3,36.4,34.71,0,,MEDIVEINE|300MG|COMPRIME
MEDIVEINE,600 MG,COMPRIME SECABLE,DIOSMINE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,SOTHEMA,Commercialisé,AMM ENREGISTREE,BOITE DE 30,PP,56.1,35.0,33.37,0,,MEDIVEINE|600MG|COMPRIMESECABLE
MEDIZAPIN,10 MG,COMPRIME,OLANZAPINE,PSYCHIATRIE,CIPLA,Commercialisé,AMM ENREGISTREE,BOITE DE 10,GN,106.8,66.7,63.55,0,,MEDIZAPIN|10MG|COMPRIME
MEDIZAPIN,10 MG,COMPRIME,OLANZAPINE,PSYCHIATRIE,CIPLA,Commercialisé,AMM ENREGISTREE,BOITE DE 30,GN,272.0,170.2,162.1,0,,MEDIZAPIN|10MG|COMPRIME
MEDIZAPIN,"2,5 MG",COMPRIME,OLANZAPINE,PSYCHIATRIE,CIPLA,Commercialisé,AMM ENREGISTREE,BOITE DE 10,GN,48.7,30.5,29.01,0,,MEDIZAPIN|2.5MG|COMPRIME
MEDIZAPIN,"2,5 MG",COMPRIME,OLANZAPINE,PSYCHIATRIE,CIPLA,Commercialisé,AMM ENREGISTREE,BOITE DE 30,GN,106.0,66.3,63.13,0,,MEDIZAPIN|2.5MG|COMPRIME
MEDIZAPIN,5 MG,COMPRIME,OLANZAPINE,PSYCHIATRIE,CIPLA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 10,GN,61.3,38.3,36.51,0,,MEDIZAPIN|5MG|COMPRIME
MEDIZAPIN,5 MG,COMPRIME,OLANZAPINE,PSYCHIATRIE,CIPLA,Commercialisé,AMM ENREGISTREE,BOITE DE 30,GN,156.4,97.8,93.11,0,,MEDIZAPIN|5MG|COMPRIME
MEDIZAPIN,"7,5 MG",COMPRIME,OLANZAPINE,PSYCHIATRIE,CIPLA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 10,GN,154.2,96.4,91.79,0,,MEDIZAPIN|7.5MG|COMPRIME
MEDIZAPIN,"7,5 MG",COMPRIME,OLANZAPINE,PSYCHIATRIE,CIPLA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 30,GN,390.0,259.0,247.29,0,,MEDIZAPIN|7.5MG|COMPRIME
MEDROL,16 MG,COMPRIME SECABLE,METHYLPREDNISOLONE,ENDOCRINOLOGIE-METABOLISME,PFIZER,Commercialisé,AMM ENREGISTREE,BOITE DE 20,PP,65.7,41.1,39.11,0,,MEDROL|16MG|COMPRIMESECABLE
MEDROL,4 MG,COMPRIME SECABLE,METHYLPREDNISOLONE,ENDOCRINOLOGIE-METABOLISME,PFIZER,Commercialisé,AMM ENREGISTREE,BOITE DE 30,PP,35.1,21.9,20.89,0,,MEDROL|4MG|COMPRIMESECABLE
MEDZAR,100 MG,COMPRIME PELLICULE,LOSARTAN (POTASSIQUE),CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,RIM PHARMA,Commercialisé,AMM ENREGISTREE,BOITE DE 30,GN,128.0,80.0,76.19,0,,MEDZAR|100MG|COMPRIMEPELLICULE
MEDZAR,50 MG,COMPRIME PELLICULE,LOSARTAN (POTASSIQUE),CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,RIM PHARMA,Commercialisé,AMM ENREGISTREE,BOITE DE 30,GN,65.0,40.6,38.69,0,,MEDZAR|50MG|COMPRIMEPELLICULE
MEFSAL,15 MG,COMPRIME SECABLE,MELOXICAM,ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,COOPER PHARMA,Commercialisé,AMM ENREGISTREE,BOITE DE 10,GN,36.4,22.8,21.7,0,,MEFSAL|15MG|COMPRIMESECABLE
MEFSAL,15 MG,COMPRIME SECABLE,MELOXICAM,ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,COOPER PHARMA,Commercialisé,AMM ENREGISTREE,BOITE DE 20,GN,72.6,45.4,43.21,0,,MEFSAL|15MG|COMPRIMESECABLE
MEFSAL,"7,5 MG",COMPRIME,MELOXICAM,ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,COOPER PHARMA,Commercialisé,AMM ENREGISTREE,BOITE DE 20,GN,51.0,31.9,30.37,0,,MEFSAL|7.5MG|COMPRIME
MEFSAL,"7,5 MG",COMPRIME,MELOXICAM,ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,COOPER PHARMA,Commercialisé,AMM ENREGISTREE,BOITE DE 10,GN,27.6,17.2,16.41,0,,MEFSAL|7.5MG|COMPRIME
MEGAFLOX,100 MG / 50 ML,SOLUTION POUR PERFUSION (IV),CIPROFLOXACINE (CHLORHYDRATE),INFECTIOLOGIE-PARASITOLOGIE,AFRIC PHAR,Commercialisé AO,AMM ENREGISTREE,FLACON DE 50 ML,GN,74.8,46.7,44.5,0,,MEGAFLOX|100MG50ML|SOLUTIONPOURPERFUSIONIV
MEGAFLOX,200 MG / 100 ML,SOLUTION POUR PERFUSION (IV),CIPROFLOXACINE (CHLORHYDRATE),INFECTIOLOGIE-PARASITOLOGIE,AFRIC PHAR,Commercialisé,AMM ENREGISTREE,FLACON DE 100 ML,GN,141.1,88.2,84.0,0,,MEGAFLOX|200MG100ML|SOLUTIONPOURPERFUSIONIV
MEGAFLOX,250 MG,COMPRIME PELLICULE,CIPROFLOXACINE (CHLORHYDRATE),INFECTIOLOGIE-PARASITOLOGIE,AFRIC PHAR,Commercialisé,AMM ENREGISTREE,BOITE DE 10,GN,51.4,32.1,30.6,0,,MEGAFLOX|250MG|COMPRIMEPELLICULE
MEGAFLOX,400 MG / 200 ML,SOLUTION POUR PERFUSION (IV),CIPROFLOXACINE (CHLORHYDRATE),INFECTIOLOGIE-PARASITOLOGIE,AFRIC PHAR,Commercialisé AO,AMM ENREGISTREE,FLACON DE 200 ML,GN,253.0,158.3,150.76,0,,MEGAFLOX|400MG200ML|SOLUTIONPOURPERFUSIONIV
MEGAFLOX,500 MG,COMPRIME PELLICULE,CIPROFLOXACINE (CHLORHYDRATE),INFECTIOLOGIE-PARASITOLOGIE,AFRIC PHAR,Commercialisé,AMM ENREGISTREE,BOITE DE 10,GN,74.8,46.7,44.5,0,,MEGAFLOX|500MG|COMPRIMEPELLICULE
MEGAFLOX IST,500 MG,COMPRIME PELLICULE,CIPROFLOXACINE (CHLORHYDRATE),INFECTIOLOGIE-PARASITOLOGIE,AFRIC PHAR,Non Commercialisé,AMM ENREGISTREE,BOITE DE 2,GN,35.5,22.2,21.14,0,,MEGAFLOXIST|500MG|COMPRIMEPELLICULE
MEGAMAG,45 MG,GELULE,MAGNESIUM (ASPARTATE),NUTRITION-METABOLISME-SOLUTES DE PERFUSION,COOPER PHARMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 40,PP,44.3,27.7,26.37,0,,MEGAMAG|45MG|GELULE
MEGASFON,150 MG / 150 MG,SUPPOSITOIRE,PHLOROGLUCINOL // PHLOROGLUCINOL (TRIMETHYL),GASTROENTEROLOGIE-HEPATOLOGIE,PHARMA 5,Commercialisé,AMM ENREGISTREE,BOITE DE 8,GN,18.3,11.4,10.9,0,,MEGASFON|150MG150MG|SUPPOSITOIRE
MEGASFON,160 MG,COMPRIME ORODISPERSIBLE,PHLOROGLUCINOL DIHYDRATE,GASTROENTEROLOGIE-HEPATOLOGIE,PHARMA 5,Commercialisé,AMM ENREGISTREE,BOITE DE 10,GN,30.8,19.2,18.34,0,,MEGASFON|160MG|COMPRIMEORODISPERSIBLE
MEGASFON,160 MG,COMPRIME ORODISPERSIBLE,PHLOROGLUCINOL DIHYDRATE,GASTROENTEROLOGIE-HEPATOLOGIE,PHARMA 5,Commercialisé,AMM ENREGISTREE,BOITE DE 20,GN,54.5,34.0,32.43,0,,MEGASFON|160MG|COMPRIMEORODISPERSIBLE
MEGASFON,80 MG,COMPRIME ORODISPERSIBLE,PHLOROGLUCINOL,GASTROENTEROLOGIE-HEPATOLOGIE,PHARMA 5,Commercialisé,AMM ENREGISTREE,BOITE DE 10,GN,18.3,11.4,10.88,0,,MEGASFON|80MG|COMPRIMEORODISPERSIBLE
MEGASFON,80 MG,COMPRIME ORODISPERSIBLE,PHLOROGLUCINOL,GASTROENTEROLOGIE-HEPATOLOGIE,PHARMA 5,Commercialisé,AMM ENREGISTREE,BOITE DE 20,GN,32.1,20.1,19.14,0,,MEGASFON|80MG|COMPRIMEORODISPERSIBLE
MEGASFON,160 MG,COMPRIME ORODISPERSIBLE,PHLOROGLUCINOL,GASTROENTEROLOGIE-HEPATOLOGIE,PHARMA 5,AMM sans prix,AMM ENREGISTREE,BOITE DE 100,GN,,,,0,,MEGASFON|160MG|COMPRIMEORODISPERSIBLE
MEGASFON,80 MG / 80 MG,COMPRIME PELLICULE,PHLOROGLUCINOL,GASTROENTEROLOGIE-HEPATOLOGIE,PHARMA 5,AMM sans prix,AMM ENREGISTREE,BOITE DE 30,GN,,,,0,,MEGASFON|80MG80MG|COMPRIMEPELLICULE
MEIACT,200 MG,COMPRIME PELLICULE,CEFDITOREN PIVOXIL,INFECTIOLOGIE-PARASITOLOGIE,ZENITH PHARMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 10,PP,105.6,66.0,62.86,0,,MEIACT|200MG|COMPRIMEPELLICULE
MEIACT,200 MG,COMPRIME PELLICULE,CEFDITOREN PIVOXIL,INFECTIOLOGIE-PARASITOLOGIE,ZENITH PHARMA,Commercialisé,AMM ENREGISTREE,BOITE DE 20,PP,209.0,130.9,124.67,0,,MEIACT|200MG|COMPRIMEPELLICULE
MEKARD,250 MG / 20 ML,SOLUTION A DILUER POUR PERFUSUION,DOBUTAMINE (CHLORHYDRATE),CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,PHARMAPROM,Commercialisé,AMM ENREGISTREE,BOITE DE 10 AMPOULES DE 20 ML DE SOLUTION,GN,1463.0,1197.0,1140.2,0,,MEKARD|250MG20ML|SOLUTIONADILUERPOURPERFUSUION
MEKTOVI,15 MG,COMPRIMES PELLICULES,BINIMETINIB,CANCEROLOGIE,PFIZER,Commercialisé,AMM ENREGISTREE,BOITE DE 84,PP,25682.0,25186.0,24786.57,0,,MEKTOVI|15MG|COMPRIMESPELLICULES
MELADININE,0.001,SOLUTION POUR APPLICATION LOCALE,METHOXSALENE,DERMATOLOGIE-VENEROLOGIE,SOTHEMA,Non Commercialisé,AMM ENREGISTREE,FLACON DE 24 ML,GN,19.1,11.9,11.35,0,,MELADININE|0.001|SOLUTIONPOURAPPLICATIONLOCALE
MELADININE,0.0075,SOLUTION POUR APPLICATION LOCALE,METHOXSALENE,DERMATOLOGIE-VENEROLOGIE,SOTHEMA,Non Commercialisé,AMM ENREGISTREE,FLACON DE 24 ML,GN,28.6,17.9,17.02,0,,MELADININE|0.0075|SOLUTIONPOURAPPLICATIONLOCALE
