nom,dci,dosage,forme,presentation,laboratoire,classe_therapeutique,type_produit,statut_commercialisation,statut_amm,ppv,ph,pfht,tva,code_cnops,prix_base_remboursement_cnops,taux_remboursement_cnops,source
OMIZ,OMEPRAZOLE,10 MG,GELULE,BOITE DE 7,PHARMA 5,GASTROENTEROLOGIE-HEPATOLOGIE,GN,Commercialisé,AMM ENREGISTREE,11.6,7.2,6.9,0.0,,,,ammps
OMIZ,OMEPRAZOLE,20 MG,GELULE,BOITE DE 28,PHARMA 5,GASTROENTEROLOGIE-HEPATOLOGIE,GN,Commercialisé,AMM ENREGISTREE,76.1,47.5,45.28,0.0,,,,ammps
OMIZ,OMEPRAZOLE,20 MG,GELULE,BOITE DE 7,PHARMA 5,GASTROENTEROLOGIE-HEPATOLOGIE,GN,Commercialisé,AMM ENREGISTREE,21.0,13.1,12.52,0.0,,,,ammps
OMIZ,OMEPRAZOLE,20 MG,MICROGRANULES GASTRORESISTANTS EN GELULE,BOITE DE 14,PHARMA 5,GASTROENTEROLOGIE-HEPATOLOGIE,GN,Commercialisé,AMM ENREGISTREE,39.2,24.5,23.36,0.0,,,,ammps
OMIZ 20 MG,OMEPRAZOLE,20 MG,GELULE,1 BOITE 14 GELULE,,,GENERIQUE,,,,,,,6118000092421,42.0,70.0,cnops
OMIZ 20 MG,OMEPRAZOLE,20 MG,GELULE,1 BOITE 14 GELULE,,,GENERIQUE,,,,,,,6118000092414,22.5,70.0,cnops
OMIZ 20 MG,OMEPRAZOLE,20 MG,GELULE,1 BOITE 14 GELULE,,,GENERIQUE,,,,,,,6118000092438,81.4,70.0,cnops
OMNIPAQUE,IOHEXOL,300 MG I / ML,SOLUTION INJECTABLE,FLACON EN VERRE DE 100 ML,CYCLOPHARMA,DIAGNOSTIC-IMAGERIE,GN,Commercialisé,AMM ENREGISTREE,347.0,231.0,220.21,0.0,,,,ammps
OMNIPAQUE,IOHEXOL,300 MG I / ML,SOLUTION INJECTABLE,FLACON EN VERRE DE 50ML,CYCLOPHARMA,DIAGNOSTIC-IMAGERIE,GN,Commercialisé,AMM ENREGISTREE,174.8,109.2,104.03,0.0,,,,ammps
OMNIPAQUE,IOHEXOL,300 MG I / ML,SOLUTION INJECTABLE,FLACON EN POLYPROPYLENE DE 50 ML,CYCLOPHARMA,DIAGNOSTIC-IMAGERIE,PP,AMM sans prix,AMM ENREGISTREE,,,,0.0,,,,ammps
OMNIPAQUE,IOHEXOL,300 MG I / ML,SOLUTION INJECTABLE,FLACON EN POLYPROPYLENE DE 100 ML,CYCLOPHARMA,DIAGNOSTIC-IMAGERIE,PP,AMM sans prix,AMM ENREGISTREE,,,,0.0,,,,ammps
OMNIPAQUE,IOHEXOL,350 MG I / ML,SOLUTION INJECTABLE,FLACON EN VERRE DE 100 ML,CYCLOPHARMA,DIAGNOSTIC-IMAGERIE,GN,Commercialisé,AMM ENREGISTREE,400.0,265.0,253.18,0.0,,,,ammps
OMNIPAQUE,IOHEXOL,350 MG I / ML,SOLUTION INJECTABLE,FLACON EN VERRE DE 50ML,CYCLOPHARMA,DIAGNOSTIC-IMAGERIE,GN,Commercialisé,AMM ENREGISTREE,200.0,125.6,119.6,0.0,,,,ammps
OMNIPAQUE,IOHEXOL,350 MG I / ML,SOLUTION INJECTABLE,FLACON EN POLYPROPYLENE DE 50 ML,CYCLOPHARMA,DIAGNOSTIC-IMAGERIE,PP,AMM sans prix,AMM ENREGISTREE,,,,0.0,,,,ammps
OMNIPAQUE,IOHEXOL,350 MG I / ML,SOLUTION INJECTABLE,FLACON EN POLYPROPYLENE DE 100 ML,CYCLOPHARMA,DIAGNOSTIC-IMAGERIE,PP,AMM sans prix,AMM ENREGISTREE,,,,0.0,,,,ammps
OMNISCAN,GADODIAMIDE,"0,5 MMOL / ML",SOLUTION INJECTABLE,FLACON DE 10ML,CYCLOPHARMA,,PP,Retiré du Marché,AMM RETIREE,297.0,198.0,188.57,0.0,,,,ammps
OMNISCAN,GADODIAMIDE,"0,5 MMOL / ML",SOLUTION INJECTABLE,FLACON DE 15 ML,CYCLOPHARMA,,PP,Retiré du Marché,AMM RETIREE,447.0,297.0,282.92,0.0,,,,ammps
OMNISCAN,GADODIAMIDE,"0,5 MMOL / ML",SOLUTION INJECTABLE,FLACON DE 20 ML,CYCLOPHARMA,,GN,Retiré du Marché,AMM RETIREE,539.0,358.0,341.56,0.0,,,,ammps
OMNITROPE,SOMATROPINE,"5 MG / 1,5 ML",SOLUTION INJECTABLE,"BOITE DE 5 CARTOUCHES DE 1,5 ML",SOTHEMA,ENDOCRINOLOGIE-METABOLISME,PP,Commercialisé,AMM ENREGISTREE,3434.0,3123.0,2975.03,0.0,,,,ammps
ONBREZ BREEZHALER,INDACATEROL (MALEATE),150 ΜG,POUDRE POUR INHALATION EN GELULE,BOITE DE 30,NOVARTIS PHARMA,PNEUMOLOGIE-ALLERGOLOGIE,PP,Commercialisé,AMM ENREGISTREE,452.0,300.0,286.48,0.0,,,,ammps
ONBREZ BREEZHALER,INDACATEROL (MALEATE),300 ΜG,POUDRE POUR INHALATION EN GELULE,BOITE DE 30,NOVARTIS PHARMA,PNEUMOLOGIE-ALLERGOLOGIE,PP,Commercialisé,AMM ENREGISTREE,452.0,300.0,286.48,0.0,,,,ammps
ONCOVIN,VINCRISTINE,1 MG,SOLUTION INJECTABLE,1 FLACON 4 ML,,,PRINCEPS,,,,,,,6118001070435,193.5,70.0,cnops
ONDANSETRON AGUETTANT,ONDANSETRON (CHLOHYDRATE),2 MG / ML,SOLUTION INJECTABLE,BOITE DE 10 AMPOULES DE 2 ML,HEMOLAB PHARMA,,GN,Retiré du Marché,AMM RETIREE,326.0,216.0,192.97,0.0,,,,ammps
ONDANSETRON AGUETTANT,ONDANSETRON (CHLOHYDRATE),2 MG / ML,SOLUTION INJECTABLE,BOITE DE 10 AMPOULES DE 4 ML,HEMOLAB PHARMA,,GN,Retiré du Marché,AMM RETIREE,522.0,346.0,309.12,0.0,,,,ammps
ONDANSETRON AGUETTANT 2 MG/ML,ONDANSETRON,4 MG,SOLUTION INJECTABLE,10 AMPOULE 2 ML,,,GENERIQUE,,,,,,,6118001230518,326.0,70.0,cnops
ONDANSETRON AGUETTANT 2 MG/ML,ONDANSETRON,8 MG,SOLUTION INJECTABLE,10 AMPOULE 4 ML,,,GENERIQUE,,,,,,,6118001230525,522.0,70.0,cnops
ONDANSETRON GT,ONDANSETRON,8 MG,SOLUTION INJECTABLE,1 BOITE 5 AMPOULE INJECTABLE,,,GENERIQUE,,,,,,,6118001270217,605.0,70.0,cnops
ONDANSETRON GT,ONDANSETRON (CHLOHYDRATE),8 MG / 4 ML,SOLUTION INJECTABLE,BOITE DE 1 AMPOULE DE 4 ML,ATLAS PHARM,GASTROENTEROLOGIE-HEPATOLOGIE,GN,Non Commercialisé,AMM ENREGISTREE,87.8,54.9,52.29,0.0,,,,ammps
ONDANSETRON GT,ONDANSETRON (CHLOHYDRATE),8 MG / 4 ML,SOLUTION INJECTABLE,BOITE DE 5 AMPOULES DE 4 ML,ATLAS PHARM,GASTROENTEROLOGIE-HEPATOLOGIE,GN,Commercialisé,AMM ENREGISTREE,565.0,375.0,357.98,0.0,,,,ammps
ONDANSETRON GT 8 MG/4ML,ONDANSETRON,8 MG,SOLUTION INJECTABLE,1 AMPOULE 4 ML,,,GENERIQUE,,,,,,,6118001271016,94.0,70.0,cnops
ONDANSETRON MYLAN,ONDANSETRON (CHLOHYDRATE),4 MG / 2 ML,SOLUTION INJECTABLE (IV),BOITE DE 5 AMPOULES DE 2 ML,SYNTHEMEDIC,GASTROENTEROLOGIE-HEPATOLOGIE,GN,Commercialisé AO,AMM ENREGISTREE,235.0,147.1,140.13,0.0,,,,ammps
ONDANSETRON MYLAN,ONDANSETRON (CHLOHYDRATE),8 MG / 4 ML,SOLUTION INJECTABLE (IV),BOITE DE 5 AMPOULES DE 4 ML,SYNTHEMEDIC,GASTROENTEROLOGIE-HEPATOLOGIE,GN,Commercialisé,AMM ENREGISTREE,410.0,272.0,259.71,0.0,,,,ammps
ONDANSETRON MYLAN 4 MG/2ML,ONDANSETRON,4 MG,SOLUTION INJECTABLE,5 AMPOULE 2 ML,,,GENERIQUE,,,,,,,6118001021260,251.0,70.0,cnops
ONDANSETRON MYLAN 8 MG/4ML,ONDANSETRON,8 MG,SOLUTION INJECTABLE,5 AMPOULE 4 ML,,,GENERIQUE,,,,,,,6118001021277,439.0,70.0,cnops
ONDANSETRON NORMON,ONDANSETRON,4 MG / 2 ML,SOLUTION INJECTABLE,BOITE DE 5 AMPOULES DE 2 ML,IBERMA,GASTROENTEROLOGIE-HEPATOLOGIE,GN,Non Commercialisé,AMM ENREGISTREE,242.0,151.9,144.64,0.0,,,,ammps
ONDANSETRON NORMON,ONDANSETRON,4 MG / 2 ML,SOLUTION INJECTABLE,BOITE DE 50 AMPOULES DE 2 ML,IBERMA,GASTROENTEROLOGIE-HEPATOLOGIE,GN,Commercialisé,AMM ENREGISTREE,1775.0,1518.0,1446.4,0.0,,,,ammps
ONDANSETRON NORMON,ONDANSETRON,8 MG / 4 ML,SOLUTION INJECTABLE,BOITE DE 5 AMPOULES DE 4 ML,IBERMA,GASTROENTEROLOGIE-HEPATOLOGIE,GN,Commercialisé,AMM ENREGISTREE,348.0,231.0,220.28,0.0,,,,ammps
ONDANSETRON NORMON,ONDANSETRON,8 MG / 4 ML,SOLUTION INJECTABLE,BOITE DE 50 AMPOULES DE 4 ML,IBERMA,GASTROENTEROLOGIE-HEPATOLOGIE,GN,Commercialisé AO,AMM ENREGISTREE,2646.0,2312.0,2202.8,0.0,,,,ammps
ONDANSETRON PROMOPHARM,ONDANSETRON (CHLORHYDRATE DIHYDRATE),4 MG / 2 ML,SOLUTION INJECTABLE,BOITE DE 1 AMPOULE DE 2 ML,PROMOPHARM S.A,GASTROENTEROLOGIE-HEPATOLOGIE,GN,AMM sans prix,AMM ENREGISTREE,,,,0.0,,,,ammps
ONDANSETRON PROMOPHARM,ONDANSETRON (CHLORHYDRATE DIHYDRATE),4 MG / 2 ML,SOLUTION INJECTABLE,BOITES DE 5 AMPOULES DE 2 ML,PROMOPHARM S.A,GASTROENTEROLOGIE-HEPATOLOGIE,GN,AMM sans prix,AMM ENREGISTREE,,,,0.0,,,,ammps
ONDANSETRON PROMOPHARM,ONDANSETRON (CHLORHYDRATE DIHYDRATE),4 MG / 2 ML,SOLUTION INJECTABLE,BOITES DE 10 AMPOULES DE 2 ML,PROMOPHARM S.A,GASTROENTEROLOGIE-HEPATOLOGIE,GN,AMM sans prix,AMM ENREGISTREE,,,,0.0,,,,ammps
ONDANSETRON PROMOPHARM,ONDANSETRON (CHLORHYDRATE DIHYDRATE),8 MG / 4 ML,SOLUTION INJECTABLE,BOITE DE 1 AMPOULE DE 4 ML,PROMOPHARM S.A,GASTROENTEROLOGIE-HEPATOLOGIE,GN,AMM sans prix,AMM ENREGISTREE,,,,0.0,,,,ammps
ONDANSETRON PROMOPHARM,ONDANSETRON (CHLORHYDRATE DIHYDRATE),8 MG / 4 ML,SOLUTION INJECTABLE,BOITES DE 5 AMPOULES DE 4 ML,PROMOPHARM S.A,GASTROENTEROLOGIE-HEPATOLOGIE,GN,AMM sans prix,AMM ENREGISTREE,,,,0.0,,,,ammps
ONDANSETRON PROMOPHARM,ONDANSETRON (CHLORHYDRATE DIHYDRATE),8 MG / 4 ML,SOLUTION INJECTABLE,BOITES DE 10 AMPOULES DE 4 ML,PROMOPHARM S.A,GASTROENTEROLOGIE-HEPATOLOGIE,GN,AMM sans prix,AMM ENREGISTREE,,,,0.0,,,,ammps
ONGECIN,GEMCITABINE,1 G,POUDRE POUR SOLUTION,POUDRE POUR FLACON DE 50ML,ZENITH PHARMA,CANCEROLOGIE,GN,Commercialisé,AMM ENREGISTREE,971.0,691.0,658.35,0.0,,,,ammps
ONGECIN,GEMCITABINE,1 G,POUDRE POUR SOLUTION POUR PERFUSION,1 FLACON 50 ML,,,GENERIQUE,,,,,,,6118001270583,971.0,70.0,cnops
ONGECIN,GEMCITABINE,200 MG,POUDRE POUR SOLUTION POUR PERFUSION,POUDRE EN FLACON DE 10ML,ZENITH PHARMA,CANCEROLOGIE,GN,Commercialisé,AMM ENREGISTREE,257.0,161.2,153.51,0.0,6118001271009,257.0,70.0,ammps+cnops
ONGLYZA,SAXAGLIPTINE,"2,5 MG",COMPRIME PELLICULE,BOITE DE 30,MAPHAR,ENDOCRINOLOGIE-METABOLISME,PP,Non Commercialisé,AMM ENREGISTREE,267.0,166.9,158.96,0.0,,,,ammps
ONGLYZA,SAXAGLIPTINE,5 MG,COMPRIME PELLICULE,BOITE DE 30,MAPHAR,ENDOCRINOLOGIE-METABOLISME,PP,Non Commercialisé,AMM ENREGISTREE,386.0,256.0,244.33,0.0,,,,ammps
ONICIT,PALONOSETRON,250 ΜG,SOLUTION INJECTABLE,BOITE D'UN FLACON DE 5 ML,AMANYS PHARMA,GASTROENTEROLOGIE-HEPATOLOGIE,PP,Non Commercialisé,AMM ENREGISTREE,475.0,315.0,300.89,0.0,,,,ammps
ONIFINE,TERBINAFINE,0.01,CREME DERMIQUE,TUBE DE 15 G,PHI,DERMATOLOGIE-VENEROLOGIE,GN,Commercialisé,AMM ENREGISTREE,31.8,19.8,18.91,0.0,,,,ammps
ONIFINE,TERBINAFINE,0.01,CREME DERMIQUE,TUBE DE 30 G,PHI,DERMATOLOGIE-VENEROLOGIE,GN,Commercialisé,AMM ENREGISTREE,54.2,33.9,32.27,0.0,,,,ammps
