nom,dci,dosage,forme,presentation,laboratoire,classe_therapeutique,type_produit,statut_commercialisation,statut_amm,ppv,ph,pfht,tva,code_cnops,prix_base_remboursement_cnops,taux_remboursement_cnops,source
DEXMEDETOMIDINE EVER PHARMA,DEXMEDETOMIDINE (CHLORHYDRATE),100 UG / ML,SOLUTION A DILUER POUR PERFUSION EN FLACON DE 10 ML,BOITE DE 5 FLACONS DE 10 ML,SOTHEMA,ANESTHESIE-REANIMATION,GN,AMM sans prix,AMM ENREGISTREE,,,,0.0,,,,ammps
DEXMEDETOMIDINE EVER PHARMA,DEXMEDETOMIDINE (CHLORHYDRATE),100 UG / ML,SOLUTION A DILUER POUR PERFUSION EN FLACON DE 4 ML,BOITE DE 5 FLACONS DE 4 ML,SOTHEMA,ANESTHESIE-REANIMATION,GN,AMM sans prix,AMM ENREGISTREE,,,,0.0,,,,ammps
DEXMEDETOMIDINE EVER PHARMA,DEXMEDETOMIDINE (CHLORHYDRATE),100 ΜG / ML,SOLUTION A DILUER POUR PERFUSION EN AMPOULE DE 2 ML,BOITE DE 5 AMPOULES DE 2 ML,SOTHEMA,ANESTHESIE-REANIMATION,GN,AMM sans prix,AMM ENREGISTREE,,,,0.0,,,,ammps
DEZEMOS,CLOPIDOGREL,75 MG,COMPRIME PELLICULE,BOITE DE 14,MC PHARMA,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,GN,Non Commercialisé,AMM ENREGISTREE,110.0,68.8,65.5,0.0,,,,ammps
DEZEMOS,CLOPIDOGREL,75 MG,COMPRIME PELLICULE,BOITE DE 28,MC PHARMA,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,GN,Non Commercialisé,AMM ENREGISTREE,198.0,123.8,117.88,0.0,,,,ammps
DEZEMOS,CLOPIDOGREL,75 MG,COMPRIME PELLICULE,BOITE DE 7,MC PHARMA,,,Retiré du Marché,AMM RETIREE,,,,0.0,,,,ammps
DHE,DIHYDROERGOTAMINE,2 MG,SOLUTION POUR GOUTTES BUVABLES,1 FLACON 50 ML,,,PRINCEPS,,,,,,,6118000030669,66.8,0.0,cnops
DI-ALGIK,PARACETAMOL / DEXTROPROPOXYPHENE,400 / 30 MG / MG,GELULE,1 BOITE 20 GELULE,,,GENERIQUE,,,,,,,6118000071518,21.5,0.0,cnops
DI-ANTALVIC,PARACETAMOL / DEXTROPROPOXYPHENE,400 / 30 MG / MG,GELULE,1 BOITE 18 GELULE,,,PRINCEPS,,,,,,,6118000060703,32.3,0.0,cnops
DI-HYDAN,PHENYTOINE,100 MG,COMPRIME,BOITE DE 60,SYNTHEMEDIC,NEUROLOGIE,GN,Non Commercialisé,AMM ENREGISTREE,37.4,23.4,22.25,0.0,,,,ammps
DI-INDO,INDOMETACINE (CALCIQUE PENTAHYDRATE),100 MG,SUPPOSITOIRE,BOITE DE 10,LAPROPHAN,ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,GN,Commercialisé,AMM ENREGISTREE,56.4,35.3,33.6,0.0,6118000031338,38.2,70.0,ammps+cnops
DI-INDO,INDOMETACINE,25 MG,COMPRIME DISPERSIBLE,BOITE DE 30,LAPROPHAN,ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,GN,Commercialisé,AMM ENREGISTREE,60.3,37.7,35.88,0.0,6118000031307,27.8,70.0,ammps+cnops
DI-INDO,INDOMETACINE (CALCIQUE PENTAHYDRATE),25 MG,COMPRIME EFFERVESCENT,BOITE DE 30,LAPROPHAN,ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,GN,Commercialisé,AMM ENREGISTREE,60.7,38.0,36.16,0.0,6118000032366,27.8,70.0,ammps+cnops
DI-INDO,INDOMETACINE (CALCIQUE PENTAHYDRATE),25 MG,GELULE,BOITE DE 30,LAPROPHAN,ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,GN,Commercialisé AO,AMM ENREGISTREE,63.2,39.5,37.61,0.0,6118000031314,27.8,70.0,ammps+cnops
DI-INDO,INDOMETACINE (CALCIQUE PENTAHYDRATE),50 MG,COMPRIME DISPERSIBLE,BOITE DE 15,LAPROPHAN,ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,GN,Commercialisé,AMM ENREGISTREE,49.5,30.9,29.48,0.0,,,,ammps
DI-INDO,INDOMETACINE (CALCIQUE PENTAHYDRATE),50 MG,COMPRIME EFFERVESCENT,BOITE DE 15,LAPROPHAN,ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,GN,Commercialisé,AMM ENREGISTREE,54.2,33.9,32.27,0.0,,,,ammps
DI-INDO,INDOMETACINE (CALCIQUE PENTAHYDRATE),50 MG,SUPPOSITOIRE,BOITE DE 10,LAPROPHAN,ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,GN,Commercialisé,AMM ENREGISTREE,48.6,30.4,28.93,0.0,6118000031321,23.5,70.0,ammps+cnops
DI-INDO 50 MG,INDOMETACINE,50 MG,COMPRIME DISPERSIBLE,1 BOITE 15 COMPRIME DISPERSIBLE,,,GENERIQUE,,,,,,,6118000033035,53.0,0.0,cnops
DI-INDO 50 MG,INDOMETACINE,50 MG,COMPRIME EFFERVESCENT,1 BOITE 15 COMPRIME EFFERVESCENT,,,GENERIQUE,,,,,,,6118000033028,58.0,0.0,cnops
DI-ORTODYL,SPIRAMYCINE // METRONIDAZOLE,"1,5 MUI / 250 MG",COMPRIME PELLICULE,BOITE DE 15,LAPROPHAN,INFECTIOLOGIE-PARASITOLOGIE,GN,Non Commercialisé,AMM ENREGISTREE,70.5,44.1,41.99,0.0,,,,ammps
DIABACT UBT,UREE 13C,50 MG,COMPRIME,BOITE DE 1,PHARMIS,DIAGNOSTIC-IMAGERIE,PP,AMM sans prix,AMM ENREGISTREE,,,,0.0,,,,ammps
DIABACT UBT,UREE 13C,50 MG,COMPRIME,BOITE DE 10,PHARMIS,DIAGNOSTIC-IMAGERIE,PP,AMM sans prix,AMM ENREGISTREE,,,,0.0,,,,ammps
DIABALEX,GLICLAZIDE,30 MG,COMPRIME A LIBERATION MODIFIE,BOITE DE 30,STERIPHARMA,ENDOCRINOLOGIE-METABOLISME,GN,Non Commercialisé,AMM ENREGISTREE,38.0,23.7,22.61,0.0,,,,ammps
DIABALEX,GLICLAZIDE,30 MG,COMPRIME A LIBERATION MODIFIE,BOITE DE 60,STERIPHARMA,ENDOCRINOLOGIE-METABOLISME,GN,Non Commercialisé,AMM ENREGISTREE,62.3,38.9,37.08,0.0,,,,ammps
DIABALEX,GLICLAZIDE,30 MG,COMPRIMES A LIBERATION MODIFIE,BOITE DE 60,SERVIER,ENDOCRINOLOGIE-METABOLISME,GN,AMM sans prix,AMM ENREGISTREE,,,,0.0,,,,ammps
DIABALEX,GLICLAZIDE,30 MG,COMPRIMES A LIBERATION MODIFIE,BOITE DE 30,SERVIER,ENDOCRINOLOGIE-METABOLISME,GN,AMM sans prix,AMM ENREGISTREE,,,,0.0,,,,ammps
DIABALEX,GLICLAZIDE,60 MG,COMPRIME SECABLE,BOITE DE 15,STERIPHARMA,ENDOCRINOLOGIE-METABOLISME,GN,Non Commercialisé,AMM ENREGISTREE,25.0,15.6,14.88,0.0,,,,ammps
DIABALEX,GLICLAZIDE,60 MG,COMPRIME SECABLE,BOITE DE 30,STERIPHARMA,ENDOCRINOLOGIE-METABOLISME,GN,Commercialisé,AMM ENREGISTREE,38.0,23.7,22.61,0.0,,,,ammps
DIABALEX,GLICLAZIDE,60 MG,COMPRIME SECABLE,BOITE DE 60,SERVIER,ENDOCRINOLOGIE-METABOLISME,GN,Non Commercialisé,AMM ENREGISTREE,55.1,34.4,32.79,0.0,,,,ammps
DIABYL,METFORMINE (CHLORHYDRATE),500 MG,COMPRIME,BOITE DE 50,GALENICA,ENDOCRINOLOGIE-METABOLISME,GN,Non Commercialisé,AMM ENREGISTREE,20.4,12.7,12.14,0.0,,,,ammps
DIABYL RETARD,METFORMINE (CHLORHYDRATE),850 MG,COMPRIME,BOITE DE 30,GALENICA,ENDOCRINOLOGIE-METABOLISME,GN,Commercialisé AO,AMM ENREGISTREE,22.4,14.0,13.36,0.0,,,,ammps
DIABYL RETARD,METFORMINE (CHLORHYDRATE),850 MG,COMPRIME,BOITE DE 60,GALENICA,ENDOCRINOLOGIE-METABOLISME,GN,Non Commercialisé,AMM ENREGISTREE,40.8,25.5,24.29,0.0,,,,ammps
DIAFORMINE,METFORMINE (CHLORHYDRATE),1000 MG,COMPRIME PELLICULE,BOITE DE 30,BOTTU,ENDOCRINOLOGIE-METABOLISME,GN,Commercialisé,AMM ENREGISTREE,21.0,13.1,12.5,0.0,,,,ammps
DIAFORMINE,METFORMINE (CHLORHYDRATE),850 MG,COMPRIME PELLICULE,BOITE DE 30,BOTTU,ENDOCRINOLOGIE-METABOLISME,GN,Commercialisé,AMM ENREGISTREE,18.0,11.2,10.71,0.0,,,,ammps
DIALENS,DEXTRAN / CHLORHEXIDINE,5 / 5 G / MG,COLLYRE,1 FLACON 10 ML,,,GENERIQUE,,,,,,,6118001270101,38.3,0.0,cnops
DIALYSE PERITONEALE BIEFFE FORMULE 55,CONCENTRE POUR DIALYSE PERITONEALE,,SOLUTION POUR DIALYSE PERITONEALE,1 POCHE 2 L,,,PRINCEPS,,,,,,,6118001230037,82.6,70.0,cnops
DIALYSE PERITONEALE BIEFFE FORMULE 62,CONCENTRE POUR DIALYSE PERITONEALE,,SOLUTION POUR DIALYSE PERITONEALE,1 POCHE 2 L,,,PRINCEPS,,,,,,,6118001230020,82.6,70.0,cnops
DIALYSE PERITONEALE BIEFFE FORMULE 91,CONCENTRE POUR DIALYSE PERITONEALE,,SOLUTION POUR DIALYSE PERITONEALE,1 POCHE 2 L,,,PRINCEPS,,,,,,,6118001230013,82.6,70.0,cnops
DIALYSOL ACIDE,CHLORURE DE SODIUM // CHLORHEXIDINE DIGLUCONATE // CHLORURE DE MAGNESIUM HEXAHYDRATE // CHLORURE DE POTASSIUM,-,CONCENTRE LIQUIDE D'HEMODIALYSE,BIDON DE 10 L,SOLUDIA MAGHREB,UROLOGIE-NEPHROLOGIE,GN,Commercialisé,AMM ENREGISTREE,144.0,90.0,85.71,0.0,,,,ammps
DIALYSOL ACIDE,CHLORURE DE SODIUM // CHLORHEXIDINE DIGLUCONATE // CHLORURE DE MAGNESIUM HEXAHYDRATE // CHLORURE DE POTASSIUM // SOLUTION D'ACIDE ACETIQUE,-,CONCENTRE LIQUIDE D'HEMODIALYSE,BIDON DE 5 L,SOLUDIA MAGHREB,UROLOGIE-NEPHROLOGIE,GN,Commercialisé,AMM ENREGISTREE,71.7,44.8,42.67,0.0,,,,ammps
DIALYSOL ACIDE,CHLORURE DE SODIUM // CHLORHEXIDINE DIGLUCONATE // CHLORURE DE MAGNESIUM HEXAHYDRATE // CHLORURE DE POTASSIUM // SOLUTION D'ACIDE ACETIQUE,-,CONCENTRE LIQUIDE D'HEMODIALYSE,CUVE 1000 L,SOLUDIA MAGHREB,UROLOGIE-NEPHROLOGIE,GN,Commercialisé,AMM ENREGISTREE,5888.0,5649.0,5380.84,0.0,,,,ammps
DIALYSOL ACIDE,CHLORURE DE SODIUM // CHLORHEXIDINE DIGLUCONATE // CHLORURE DE MAGNESIUM HEXAHYDRATE // CHLORURE DE POTASSIUM // SOLUTION D'ACIDE ACETIQUE,-,CONCENTRE LIQUIDE D'HEMODIALYSE,POCHE 5 L,SOLUDIA MAGHREB,UROLOGIE-NEPHROLOGIE,GN,Non Commercialisé,AMM ENREGISTREE,71.7,44.8,42.67,0.0,,,,ammps
DIALYSOL BICARBONATE,BICARBONATE DE SODIUM // CHLORURE DE SODIUM,-,CONCENTRE LIQUIDE D'HEMODIALYSE,BIDON DE 10 L,SOLUDIA MAGHREB,UROLOGIE-NEPHROLOGIE,GN,Commercialisé,AMM ENREGISTREE,128.0,80.0,76.19,0.0,,,,ammps
DIALYSOL BICARBONATE,BICARBONATE DE SODIUM // CHLORURE DE SODIUM,-,CONCENTRE LIQUIDE D'HEMODIALYSE,BIDON DE 5 L,SOLUDIA MAGHREB,UROLOGIE-NEPHROLOGIE,GN,Commercialisé,AMM ENREGISTREE,64.0,40.0,38.1,0.0,,,,ammps
DIAMET,METFORMINE (CHLORHYDRATE),1000 MG,COMPRIMES PELLICULES,BOITE DE 30,AFRIC PHAR,ENDOCRINOLOGIE-METABOLISME,GN,AMM sans prix,AMM ENREGISTREE,,,,0.0,,,,ammps
DIAMET,METFORMINE (CHLORHYDRATE),1000 MG,COMPRIMES PELLICULES,BOITE DE 60,AFRIC PHAR,ENDOCRINOLOGIE-METABOLISME,GN,AMM sans prix,AMM ENREGISTREE,,,,0.0,,,,ammps
DIAMET,METFORMINE (CHLORHYDRATE),1000 MG,COMPRIMES PELLICULES,BOITE 90,AFRIC PHAR,ENDOCRINOLOGIE-METABOLISME,GN,AMM sans prix,AMM ENREGISTREE,,,,0.0,,,,ammps
DIAMET,METFORMINE (CHLORHYDRATE),500 MG,COMPRIMES PELLICULES,BOITE DE 30,AFRIC PHAR,ENDOCRINOLOGIE-METABOLISME,GN,AMM sans prix,AMM ENREGISTREE,,,,0.0,,,,ammps
DIAMET,METFORMINE (CHLORHYDRATE),500 MG,COMPRIMES PELLICULES,BOITE DE 60,AFRIC PHAR,ENDOCRINOLOGIE-METABOLISME,GN,AMM sans prix,AMM ENREGISTREE,,,,0.0,,,,ammps
DIAMET,METFORMINE (CHLORHYDRATE),500 MG,COMPRIMES PELLICULES,BOITE DE 90,AFRIC PHAR,ENDOCRINOLOGIE-METABOLISME,GN,AMM sans prix,AMM ENREGISTREE,,,,0.0,,,,ammps
DIAMET,METFORMINE (CHLORHYDRATE),850 MG,COMPRIMES PELLICULES,BOITE DE 30,AFRIC PHAR,ENDOCRINOLOGIE-METABOLISME,GN,AMM sans prix,AMM ENREGISTREE,,,,0.0,,,,ammps
DIAMET,METFORMINE (CHLORHYDRATE),850 MG,COMPRIMES PELLICULES,BOITE DE 60,AFRIC PHAR,ENDOCRINOLOGIE-METABOLISME,GN,AMM sans prix,AMM ENREGISTREE,,,,0.0,,,,ammps
DIAMET,METFORMINE (CHLORHYDRATE),850 MG,COMPRIMES PELLICULES,BOITE 90,AFRIC PHAR,ENDOCRINOLOGIE-METABOLISME,GN,AMM sans prix,AMM ENREGISTREE,,,,0.0,,,,ammps
DIAMICRON,GLICLAZIDE,30 MG,COMPRIME A LIBERATION MODIFIEE,BOITE DE 30,SERVIER,ENDOCRINOLOGIE-METABOLISME,PP,Commercialisé,AMM ENREGISTREE,54.3,33.9,32.3,0.0,,,,ammps
DIAMICRON,GLICLAZIDE,30 MG,COMPRIME A LIBERATION MODIFIEE,BOITE DE 60,SERVIER,ENDOCRINOLOGIE-METABOLISME,PP,Commercialisé,AMM ENREGISTREE,89.0,55.6,52.98,0.0,,,,ammps
DIAMICRON,GLICLAZIDE,60 MG,COMPRIME SECABLE A LIBERATION MODIFIEE,BOITE DE 15,SERVIER,ENDOCRINOLOGIE-METABOLISME,PP,Commercialisé Export,AMM ENREGISTREE,25.0,15.6,14.88,0.0,,,,ammps
DIAMICRON,GLICLAZIDE,60 MG,COMPRIME SECABLE A LIBERATION MODIFIEE,BOITE DE 30,SERVIER,ENDOCRINOLOGIE-METABOLISME,PP,Commercialisé,AMM ENREGISTREE,44.7,27.9,26.61,0.0,,,,ammps
DIAMICRON,GLICLAZIDE,60 MG,COMPRIME SECABLE A LIBERATION MODIFIEE,BOITE DE 60,SERVIER,ENDOCRINOLOGIE-METABOLISME,PP,Commercialisé,AMM ENREGISTREE,78.7,49.2,46.85,0.0,,,,ammps
DIAMICRON,GLICLAZIDE,80 MG,COMPRIME SECABLE,1 BOITE 20 COMPRIME,,,PRINCEPS,,,,,,,6118000100058,29.7,70.0,cnops
DIAMICRON,GLICLAZIDE,80 MG,COMPRIME SECABLE,1 BOITE 20 COMPRIME,,,PRINCEPS,,,,,,,6118000100065,83.4,70.0,cnops
DIAMICRON LM,GLICLAZIDE,30 MG,COMPRIME LM,1 BOITE 30 COMPRIME,,,PRINCEPS,,,,,,,6118000100072,38.9,70.0,cnops
DIAMICRON LM,GLICLAZIDE,30 MG,COMPRIME LM,1 BOITE 30 COMPRIME,,,PRINCEPS,,,,,,,6118000100089,68.5,70.0,cnops
DIAMOX,ACETAZOLAMIDE,250 MG,COMPRIME SECABLE,BOITE DE 24,MAPHAR,OPHTALMOLOGIE,PP,Commercialisé,AMM ENREGISTREE,17.7,11.1,10.57,0.0,6118000012337,19.0,70.0,ammps+cnops
DIANE 35,CYPROTERONE / ETHINYLESTRADIOL,2 / 35 MG / ΜG,COMPRIME ENROBE,1 BOITE 21 COMPRIME,,,PRINCEPS,,,,,,,6118000120544,52.1,0.0,cnops
DIANE 35,CYPROTERONE (ACETATE) // ETHINYLESTRADIOL,"2 MG / 0,035 MG",COMPRIME ENROBE,BOITE DE 21,POLYMEDIC,GYNECOLOGIE-OBSTETRIQUE-CONTRACEPTION,PP,Commercialisé,AMM ENREGISTREE,48.7,30.4,28.98,0.0,,,,ammps
DIANEAL PD4 GLUCOSE,MAGNESIUM CHLORURE HEXAHYDRATE // GLUCOSE MONOHYDRATE // SODIUM LACTATE // SODIUM CHLORURE // CALCIUM CHLORURE DIHYDRATE,0.0136,SOLUTION POUR DIALYSE PERITONEALE,POCHE DE 2 LITRES,AFRIC PHAR,UROLOGIE-NEPHROLOGIE,PP,AMM sans prix,AMM ENREGISTREE,,,,0.0,,,,ammps
DIANEAL PD4 GLUCOSE,MAGNESIUM CHLORURE HEXAHYDRATE // GLUCOSE MONOHYDRATE // SODIUM LACTATE // SODIUM CHLORURE // CALCIUM CHLORURE DIHYDRATE,0.0136,SOLUTION POUR DIALYSE PERITONEALE,POCHE DE 5 LITRES,AFRIC PHAR,UROLOGIE-NEPHROLOGIE,PP,AMM sans prix,AMM ENREGISTREE,,,,0.0,,,,ammps
DIANEAL PD4 GLUCOSE,MAGNESIUM CHLORURE HEXAHYDRATE // GLUCOSE MONOHYDRATE // SODIUM LACTATE // SODIUM CHLORURE // CALCIUM CHLORURE DIHYDRATE,0.0227,SOLUTION POUR DIALYSE PERITONEALE,POCHE DE 2 LITRES,AFRIC PHAR,UROLOGIE-NEPHROLOGIE,PP,AMM sans prix,AMM ENREGISTREE,,,,0.0,,,,ammps
DIANEAL PD4 GLUCOSE,MAGNESIUM CHLORURE HEXAHYDRATE // GLUCOSE MONOHYDRATE // SODIUM LACTATE // SODIUM CHLORURE // CALCIUM CHLORURE DIHYDRATE,0.0227,SOLUTION POUR DIALYSE PERITONEALE,POCHE DE 5 LITRES,AFRIC PHAR,UROLOGIE-NEPHROLOGIE,PP,AMM sans prix,AMM ENREGISTREE,,,,0.0,,,,ammps
DIANEAL PD4 GLUCOSE,MAGNESIUM CHLORURE HEXAHYDRATE // GLUCOSE MONOHYDRATE // SODIUM LACTATE // SODIUM CHLORURE // CALCIUM CHLORURE DIHYDRATE,0.0386,SOLUTION POUR DIALYSE PERITONEALE,POCHE DE 2 LITRES,AFRIC PHAR,UROLOGIE-NEPHROLOGIE,PP,AMM sans prix,AMM ENREGISTREE,,,,0.0,,,,ammps
DIAPHARM,DIAZEPAM,10 MG,SOLUTION INJECTABLE,1 BOITE 6 AMPOULE INJECTABLE,,,GENERIQUE,,,,,,,6118010024023,24.35,70.0,cnops
DIAPHARM,DIAZEPAM,10 MG,SOLUTION INJECTABLE,1 BOITE 6 AMPOULE INJECTABLE,,,GENERIQUE,,,,,,,6118000090267,39.8,70.0,cnops
DIAPHARM,DIAZEPAM,10 MG / 2 ML,SOLUTION INJECTABLE,BOITE DE 5 AMPOULES DE 2 ML,PHARMA 5,PSYCHIATRIE,GN,Commercialisé,AMM ENREGISTREE,37.2,23.2,22.14,0.0,,,,ammps
DIAPHARM,DIAZEPAM,5 MG,COMPRIME,BOITE DE 40,PHARMA 5,PSYCHIATRIE,GN,Commercialisé AO / Export,AMM ENREGISTREE,13.1,8.2,7.82,0.0,6118010024030,14.0,70.0,ammps+cnops
DIAPRID-M,GLIMEPIRIDE // METFORMINE,2 MG / 500 MG,COMPRIME PELLICULE,BOITE DE 30,POLYMEDIC,ENDOCRINOLOGIE-METABOLISME,GN,Commercialisé,AMM ENREGISTREE,81.2,50.8,48.36,0.0,,,,ammps
DIARIT,CHLORURE DE SODIUM // CHLORURE DE POTASSIUM // CITRATE DE SODIUM TRISODIQUE // GLUCOSE ANHYDRE,"2,6 G / 1,5 G / 2,9 G / 13,5 G",SACHET,BOITE DE 3,COOPER PHARMA,GASTROENTEROLOGIE-HEPATOLOGIE,GN,Commercialisé AO,AMM ENREGISTREE,11.5,7.2,6.84,0.0,,,,ammps
DIARIT SACHETS,CHLORURE DE SODIUM / CITRATE TRISODIQUE,3.5 / 2.9 G / G,POUDRE POUR SOLUTION BUVABLE,1 BOITE 3 SACHET,,,GENERIQUE,,,,,,,6118000081326,12.3,0.0,cnops
DIASTAB,GLICLAZIDE,80 MG,COMPRIME SECABLE,BOITE DE 20,SYNTHEMEDIC,ENDOCRINOLOGIE-METABOLISME,GN,Non Commercialisé,AMM ENREGISTREE,22.0,13.7,13.1,0.0,6118010001161,60.0,70.0,ammps+cnops
DIASTAB,GLICLAZIDE,80 MG,COMPRIME SECABLE,BOITE DE 20,SYNTHEMEDIC,ENDOCRINOLOGIE-METABOLISME,GN,Non Commercialisé,AMM ENREGISTREE,22.0,13.7,13.1,0.0,6118000180678,60.0,70.0,ammps+cnops
DIASTAB,GLICLAZIDE,80 MG,COMPRIME SECABLE,BOITE DE 20,SYNTHEMEDIC,ENDOCRINOLOGIE-METABOLISME,GN,Non Commercialisé,AMM ENREGISTREE,22.0,13.7,13.1,0.0,6118010001154,22.0,70.0,ammps+cnops
DIASTAB,GLICLAZIDE,80 MG,COMPRIME SECABLE,BOITE DE 20,SYNTHEMEDIC,ENDOCRINOLOGIE-METABOLISME,GN,Non Commercialisé,AMM ENREGISTREE,22.0,13.7,13.1,0.0,6118000180661,22.0,70.0,ammps+cnops
DIASTAB,GLICLAZIDE,80 MG,COMPRIME SECABLE,BOITE DE 60,SYNTHEMEDIC,ENDOCRINOLOGIE-METABOLISME,GN,Non Commercialisé,AMM ENREGISTREE,60.0,37.5,35.71,0.0,6118010001161,60.0,70.0,ammps+cnops
DIASTAB,GLICLAZIDE,80 MG,COMPRIME SECABLE,BOITE DE 60,SYNTHEMEDIC,ENDOCRINOLOGIE-METABOLISME,GN,Non Commercialisé,AMM ENREGISTREE,60.0,37.5,35.71,0.0,6118000180678,60.0,70.0,ammps+cnops
DIASTAB,GLICLAZIDE,80 MG,COMPRIME SECABLE,BOITE DE 60,SYNTHEMEDIC,ENDOCRINOLOGIE-METABOLISME,GN,Non Commercialisé,AMM ENREGISTREE,60.0,37.5,35.71,0.0,6118010001154,22.0,70.0,ammps+cnops
DIASTAB,GLICLAZIDE,80 MG,COMPRIME SECABLE,BOITE DE 60,SYNTHEMEDIC,ENDOCRINOLOGIE-METABOLISME,GN,Non Commercialisé,AMM ENREGISTREE,60.0,37.5,35.71,0.0,6118000180661,22.0,70.0,ammps+cnops
DIASTER,CORTIVAZOL MICRONISE,"0,4 MG",COMPRIME,BOITE DE 30,SYNTHEMEDIC,PNEUMOLOGIE-ALLERGOLOGIE,PP,Commercialisé,AMM ENREGISTREE,32.4,20.3,19.3,0.0,,,,ammps
DIASTER,CORTIVAZOL,0.4 MG,COMPRIME SECABLE,1 BOITE 30 COMPRIME,,,PRINCEPS,,,,,,,6118000180326,34.7,0.0,cnops
DIASTOP,RACECADOTRIL,10 MG,POUDRE ORALE EN SACHETS,BOITE DE 16,PHARMA 5,GASTROENTEROLOGIE-HEPATOLOGIE,GN,Commercialisé AO,AMM ENREGISTREE,50.8,31.7,30.24,0.0,,,,ammps
DIASTOP,RACECADOTRIL,10 MG,SACHET,BOITE DE 24,PHARMA 5,GASTROENTEROLOGIE-HEPATOLOGIE,GN,AMM sans prix,AMM ENREGISTREE,,,,0.0,,,,ammps
DIASTOP,RACECADOTRIL,10 MG,SACHET,BOITE DE 8,PHARMA 5,GASTROENTEROLOGIE-HEPATOLOGIE,GN,AMM sans prix,AMM ENREGISTREE,,,,0.0,,,,ammps
DIASTOP,RACECADOTRIL,100 MG,COMPRIME PELLICULE,BOITE DE 10,PHARMA 5,GASTROENTEROLOGIE-HEPATOLOGIE,GN,Non Commercialisé,AMM ENREGISTREE,39.0,24.4,23.22,0.0,,,,ammps
DIASTOP,RACECADOTRIL,100 MG,COMPRIME PELLICULE,BOITE DE 20,PHARMA 5,GASTROENTEROLOGIE-HEPATOLOGIE,GN,Non Commercialisé,AMM ENREGISTREE,69.7,43.5,41.48,0.0,,,,ammps
DIASTOP,RACECADOTRIL,100 MG,GELULE,BOITE DE 100,PHARMA 5,GASTROENTEROLOGIE-HEPATOLOGIE,GN,AMM sans prix,AMM ENREGISTREE,,,,0.0,,,,ammps
DIASTOP,RACECADOTRIL,175 MG,COMPRIME PELLICULE,BOITE DE 12,PHARMA 5,GASTROENTEROLOGIE-HEPATOLOGIE,GN,AMM sans prix,AMM ENREGISTREE,,,,0.0,,,,ammps
DIASTOP,RACECADOTRIL,175 MG,COMPRIME PELLICULE,BOITE DE 24,PHARMA 5,GASTROENTEROLOGIE-HEPATOLOGIE,GN,AMM sans prix,AMM ENREGISTREE,,,,0.0,,,,ammps
DIASTOP,RACECADOTRIL,30 MG,POUDRE ORALE EN SACHETS,BOITE DE 30,PHARMA 5,GASTROENTEROLOGIE-HEPATOLOGIE,GN,Commercialisé AO,AMM ENREGISTREE,57.6,36.0,34.29,0.0,,,,ammps
DIASTOP,RACECADOTRIL,30 MG,POUDRE ORALE EN SACHETS,BOITE DE 10,PHARMA 5,GASTROENTEROLOGIE-HEPATOLOGIE,GN,Non Commercialisé,AMM ENREGISTREE,21.9,13.7,13.03,0.0,,,,ammps
DIASTOP,RACECADOTRIL,30 MG,POUDRE ORALE EN SACHETS,BOITE DE 20,PHARMA 5,GASTROENTEROLOGIE-HEPATOLOGIE,GN,Non Commercialisé,AMM ENREGISTREE,38.4,24.0,22.86,0.0,,,,ammps
DICARVEL,CARVEDILOL,25 MG,COMPRIME SECABLE,BOITE DE 30,ZENITH PHARMA,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,GN,Commercialisé,AMM ENREGISTREE,88.1,55.1,52.47,0.0,,,,ammps
DICARVEL,CARVEDILOL,"6,25 MG",COMPRIME SECABLE,BOITE DE 30,ZENITH PHARMA,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,GN,Commercialisé,AMM ENREGISTREE,43.8,27.4,26.1,0.0,,,,ammps
DICEF,CEFUROXIME,125 MG,COMPRIME PELLICULE,BOITE DE 10,PHARMA 5,INFECTIOLOGIE-PARASITOLOGIE,GN,Commercialisé AO,AMM ENREGISTREE,52.1,32.5,30.99,0.0,,,,ammps
DICEF,CEFUROXIME,125 MG,COMPRIME PELLICULE,BOITE DE 20,PHARMA 5,INFECTIOLOGIE-PARASITOLOGIE,GN,Commercialisé AO,AMM ENREGISTREE,91.6,57.3,54.54,0.0,,,,ammps
