code,laboratoire,nom,dci,dosage,unite_dosage,forme,presentation,ppv,ph,ppv_br,princeps_generique_code,classe_therapeutique,taux_remboursement_cnss,dosage_text,join_key
6118001103225,COOPER MAROC,INSULINE GLARGINE COOPER 100 UNITE/ML,INSULINE HUMAINE,100,UI,SOLUTION INJECTABLE LP,1 BOITE 1 STYLO PRE-REMPLI,106.7,66.7,106.7,C,INSULINES ET ANALOGUES,70,100 UI,INSULINEGLARGINECOOPER100UNITEML|100UI|SOLUTIONINJECTABLELP
6118001120208,LAPROPHAN/NOVONORDISK,INSULINE INSULATARD HM,INSULINE HUMAINE,100,UI,SUSPENSION INJECTABLE INTERMEDIAIRE,1 FLACON 10 ML,192.3,120.2,107.5,C,INSULINES ET ANALOGUES,70,100 UI,INSULINEINSULATARDHM|100UI|SUSPENSIONINJECTABLEINTERMEDIAIRE
6118001121243,LAPROPHAN/NOVONORDISK,INSULINE INSULATARD HM PENFILL,INSULINE HUMAINE,100,UI,SUSPENSION INJECTABLE INTERMEDIAIRE,1 CARTOUCHE 3 ML,73.0,48.3,73.0,C,INSULINES ET ANALOGUES,70,100 UI,INSULINEINSULATARDHMPENFILL|100UI|SUSPENSIONINJECTABLEINTERMEDIAIRE
6118001120222,LAPROPHAN/NOVONORDISK,INSULINE INSULATARD HM PENFILL,INSULINE HUMAINE,100,UI,SUSPENSION INJECTABLE INTERMEDIAIRE,5 CARTOUCHE 3 ML,350.0,232.0,350.0,C,INSULINES ET ANALOGUES,70,100 UI,INSULINEINSULATARDHMPENFILL|100UI|SUSPENSIONINJECTABLEINTERMEDIAIRE
6118001120192,LAPROPHAN/NOVONORDISK,INSULINE MIXTARD 30 HM,INSULINE HUMAINE,100,UI,SUSPENSION INJECTABLE INTERMEDIAIRE,1 FLACON 10 ML,190.3,118.9,107.5,C,INSULINES ET ANALOGUES,70,100 UI,INSULINEMIXTARD30HM|100UI|SUSPENSIONINJECTABLEINTERMEDIAIRE
6118001121250,LAPROPHAN/NOVONORDISK,INSULINE MIXTARD 30 HM PENFILL,INSULINE HUMAINE,100,UI,SUSPENSION INJECTABLE INTERMEDIAIRE,1 CARTOUCHE 3 ML,73.0,48.3,73.0,C,INSULINES ET ANALOGUES,70,100 UI,INSULINEMIXTARD30HMPENFILL|100UI|SUSPENSIONINJECTABLEINTERMEDIAIRE
6118001120246,LAPROPHAN/NOVONORDISK,INSULINE MIXTARD 30 HM PENFILL,INSULINE HUMAINE,100,UI,SUSPENSION INJECTABLE INTERMEDIAIRE,5 CARTOUCHE 3 ML,350.0,232.0,350.0,C,INSULINES ET ANALOGUES,70,100 UI,INSULINEMIXTARD30HMPENFILL|100UI|SUSPENSIONINJECTABLEINTERMEDIAIRE
6118000010869,MAPHAR,INTETRIX,TILIQUINOL,50 ,MG,GELULE,1 BOITE 40 GELULE,56.1,35.0,56.1,A,ANTIPARASITAIRE,70,50 MG,INTETRIX|50MG|GELULE
6118000010852,MAPHAR,INTETRIX,TILBROQUINOL, 200,MG,GELULE,1 BOITE 20 GELULE,31.7,19.8,31.7,A,ANTIPARASITAIRE,70,200 MG,INTETRIX|200MG|GELULE
6118000010869,MAPHAR,INTETRIX,TILBROQUINOL, 200,MG,GELULE,1 BOITE 40 GELULE,56.1,35.0,56.1,A,ANTIPARASITAIRE,70,200 MG,INTETRIX|200MG|GELULE
